Unit Title/Description,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,
BEDSPACE FOR 2 or SOLO ROOM FOR RENT (for ladies only),3500,"BEDSPACE FOR 2 WORKING LADIES/SOLO ROOM FOR RENT
- 1 bedroom for 2 lady bedspacers
- available starting Feb 26

location:
- guadalupe viejo, makati city
- walking distance to edsa guadalupe, rockwell makati, guadalupe mrt station and guadalupe public market
- 1 jeepney ride to makati cbd (ayala, paseo de roxas, makati avenue, rcbc), makati city hall, lrt buendia
- accessible to public transportation (mrt, buses and jeepneys)

description:
- clean and spacious
- newly painted
- well ventilated (with 2 windows)
- bedroom located on the second floor
- toilet is common
- kitchen is common
- no curfew
- environment is safe 
- no crimes reported in our area
- flood free
- no water supply interruption

rate:
- P3500/pax/month, minimum 6 months contract
- 1 month advance and 2 months security deposit 

terms of payment:
- 1 month advance and 1 month security deposit are payable on or before move-in
- another 1 month security deposit is payable within 30 days upon move-in

inclusions:
? ceiling fan
? bunk bed with 6 inches mattress 
? drawers
? garment rack 
? shoe rack
? use of common areas
? cooking is allowed (no extra charge for the lpg)
? manual washing of clothes is allowed (though there is a nearby self-service laundry shop)
? purified water

exclusions:
? utilities - electricity in excess of P500 and water in excess of P200 to be paid by the tenant/s.
? no wifi for now but we can get a plan soon (bill to be equally divided)
? no air-conditioning unit

requirements:
- copy of 2 valid ids and current company id
- nbi clearance
- medical certificate",,1,,Metro Manila (NCR),Makati City,Guadalupe Viejo,15,,,,https://www.carousell.ph/p/bedspace-for-2-or-solo-room-for-rent-for-ladies-only-1066544787/?t-id=OH6d77ikrr_1612755212379&t-referrer_browse_type=search_results&t-referrer_request_id=57m-W8nb5bW-04GI&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/31/bedspace_for_2_or_solo_room_fo_1612083098_9d27da20_progressive.jpg,description
Bedspace for male professionals in Makati,5000,"Bedspace for 2 male professionals in Makati at P5,000 per person (room is good for 2 persons only) covering all utilities (water, electricity, PLDT Fiber Wi-Fi access); airconditioning from 8PM-6AM; access to receiving, dining (cooking is allowed), and laundry areas (washing machine is provided); weekly replacement of beddings (provided with bed sheet, linen, 2 pillows and casing); and weekly room cleaning.",Macabulos Street,1,1,Metro Manila (NCR),Makati City,Bangkal,30,,,,https://www.carousell.ph/p/bedspace-for-male-professionals-in-makati-1048906089/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=zk4vMCmQGBgAxOyB&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/1/bedspace_for_male_professional_1612196280_ee4075be_progressive,
RUSH RUSH !!! AFFORDABLE FEMALE BEDSPACE MAKATI,3200,"RUSH RUSH!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,,,Metro Manila (NCR),Makati City,,50,,,,https://www.carousell.ph/p/rush-rush-affordable-female-bedspace-makati-1041654074/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=f89zwQoaLxfmvcM3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/10/28/rush_rush_affordable_female_be_1603854713_505c41d9_progressive.jpg,description
URGENT URGENT!!! Affordable Female Bedspace Makati,3200,"URGENT URGENT!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

veryaccessibleayalamakati
walkingdistanceayalamakati
veryaffordableladybedspacer
roomsharing
condosharing

AffordableLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",EGI Homes Condominium Medina St. Brgy. Pio del Pilar Makati City,2,1,Metro Manila (NCR),Makati City,Pio Del Pilar,50,,,,https://www.carousell.ph/p/urgent-urgent-affordable-female-bedspace-makati-1061034449/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=f89zwQoaLxfmvcM3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_0491cc33_progressive.jpg,description
Bedspace Makati Ayala Circuit Mall area,4000,"Bedspace Ladies professional
2 Bd  apartment
3 pax /Bdroom available/ 1 solo master Bdroom 
1 Solo Studio with own CR/ Bedspace with parking  available  8K
Separate meter
Cook/Laundry
Ayala Circuit Mall area
Gated, secured
2 mos adv./ move in
Dr Cert required
Reference: Gov't ID/ Office ID
Inquiries/viewing
09171471952",near Circuit mall,2,1,Metro Manila (NCR),Makati City,Olympia,40,,,,https://www.carousell.ph/p/bedspace-makati-ayala-circuit-mall-area-1065267750/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=f89zwQoaLxfmvcM3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/25/bedspace_makati_ayala_circuit__1611577326_0c38a68f_progressive,
ASAP ASAP!!! Affordable Female Bedspacer Makati,3200,"ASAP ASAP!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,1,1,Metro Manila (NCR),Makati City,Pio Del Pilar,52,,,,https://www.carousell.ph/p/asap-asap-affordable-female-bedspacer-makati-1064300247/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=zFT7antlxn2SMq4K&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218077_4b2392c6_progressive.jpg,description
"Bedspace in Cubao, Walking Distance to Araneta City!",3900,"Bedspace in Cubao, Near Araneta City, MRT-3, LRT-2, etc.
?3,900 per month per person.

A 29sqm studio unit on the second floor of a condominium building, on P. A. Bernardo Street (formerly known as ARAYAT STREET).

Two months in advance, the equivalent of two months' rent for security deposit, and ?500 refundable key deposit.
So the MINIMUM cash required before moving-in is ?15,600.

Electricity and water INCLUDED in the rental price.
The apartment is furnished with all the usual items (see photographs).

Strictly clean and reliable tenants sought.
NBI clearance, photo identification and evidence of employment (or bank account statement) required BEFORE applying.

Message me for further enquiries.

?? May God Bless You Always! ??","Arayat, Cubao.",1,1,Metro Manila (NCR),Quezon City,,29,,,,https://www.carousell.ph/p/bedspace-in-cubao-walking-distance-to-araneta-city-240140174/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=f89zwQoaLxfmvcM3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614550_218101fa_progressive.jpg,description
Bedspace in Katipunan,4499,"?? BEDSPACE IN KATIPUNAN ??
??3 minutes walk to LRT 2 Katipunan?? 
?? Walking distance to Ateneo,UP,PSBA,PNB,Jeep and FX stations??
??1 Ride to Cubao and East Wood  
?? Must provide 2 Gov. ID's
??Inclusive of Electricity,Water,Internet,Gas,Drinking Water & House utilities)
??Fully Furnished house (Refrigerator, Gas Stove, Rice cooker, Plates and Utensils etc.)
??2 CR with Showers and Bidet
??Free Housekeeping 
??Free 55 inch smart voice command TV  netflix,hbo & etc.
??Free Use of Aircon (2x1.5HP LG split type)
??Free Use of Wifi (Globe Fiber 100mbps)
??Free Use of Laundry (LG 12kg Automatic Washing Machine)
?? Personal drawers and table (lock not included)
??? Breakfast is served at 6 AM ?????? 
?? Receiving area  
?????Roving Security Guard and CCTV 
??Fire exit and fire extinguisher 
?? 4,499 a month
1month advance 1month deposit to move in 
??Location: Villa Aurora Townhomes Loyola Heights Katipunan Q.C.
??Message me or send SMS 09178941129
?? Call 0277391410",Ruby,5,2,Metro Manila (NCR),Quezon City,Loyola Heights,,,,,https://www.carousell.ph/p/bedspace-in-katipunan-1049616189/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=f89zwQoaLxfmvcM3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/11/17/bedspace_in_katipunan_1605601947_9210d6fd_progressive.jpg,description
Bedspace Ortigas Bed space Ortigas Bedspace Ortigas Bedspace Pasig Bed space Pasig Bedspace Male Bed space Ortigas Pasig Male,4000,"Males only. CLEAN & COVID FREE. ONLY 2 PAX PER ROOM. FREE STRONG WIFI 45MBPS CONVERGE ICT.  We are located in the middle of Ortigas Center inside a private village with cctv cameras and guards.  3 min walking distance to Capitol Commons & DEPED, 5 min to Ayala Mall the 30th, 10 min to Tektite Tower, SM Megamall,  LRT Shang Mall. 15 min to Poduim & St. Francis Square, other nearby malls are Robinsons Galleria & Metrowalk etc. Beddings are provided and laundered. Cleaning lady daily cleans all common areas such as toilets, showers and hallway. No curfew. Since there are 3 showers, 3 toilets and 3 sinks, you don't have to wait your turn to get ready in the mornings. No cooking. 1 month advance, 1 month deposit. All in electricity and water.   Please call or text Genna for site visit +639275061473",,4,5,Metro Manila (NCR),Pasig City,,33,,,,https://www.carousell.ph/p/bedspace-ortigas-bed-space-ortigas-bedspace-ortigas-bedspace-pasig-bed-space-pasig-bedspace-male-bed-space-ortigas-pasig-male-1012126105/?t-id=Q64geTJiGA_1612755374498&t-referrer_browse_type=search_results&t-referrer_request_id=zk4vMCmQGBgAxOyB&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591620735_15b542fc_progressive.jpg,
Quezon City Bedspace,2600,"NEWLY RENOVATED BEDSPACE  

Location: Brgy. Bungad, Quezon City 
Walking distance to SM North Edsa, Trinoma, West Avenue

Accessible to Fishermall, Waltermart Munoz, Quezon Ave
Walking distance sa sakayan ng jeep at bus 

Inclusive of; 
- water and electricity
- covered parking 
- mattress
- cabinet with padlock latch (provide your own padlock)
- own key

- Big outdoor space 
- Common kitchen and dining
- Common toilet & bath
- Keycard main door entrance 

2-4 pax per room, 2,600.00-2,700 php per person
First floor- for males
Second floor- for ladies ",,,,Metro Manila (NCR),Quezon City,Bungad,400,,2+,,https://www.carousell.ph/p/quezon-city-bedspace-1067749839/?t-id=_lYKpUXMVM_1612755682858&t-referrer_browse_type=search_results&t-referrer_request_id=WthQahhsNSVEo_yf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/6/quezon_city_bedspace_1612572699_de97bf66_progressive.jpg,
Bedspace (Pioneer Woodlands Condominium),6500,"Looking for 1 female bedspacer to share with us in a 2br condo Includes assoc dues, but excludes utilities payment.

50mbps Wifi
34.5sqm Condo Unit
Fully furnished (Sobrang linis)
1month adv and deposit. (Payment terms)
A/C rooms


Deposit can be transferred upon move in

(Only 3 in a condo)
Pet friendly
Connected to Boni Station
Walking distance to Rob Forum/ SM light/Shangrila
Pioneer Cpd

Php. 6,500",,2,1,Metro Manila (NCR),Mandaluyong City,Barangka Ilaya,34.60,,,Yes,https://www.carousell.ph/p/bedspace-pioneer-woodlands-condominium-1067730239/?t-id=_lYKpUXMVM_1612755682858&t-referrer_browse_type=search_results&t-referrer_request_id=WthQahhsNSVEo_yf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/5/bedspace_pioneer_woodlands_con_1612545627_12985a03_progressive.jpg,
Quezon City Bedspace,2400,"QC Bedspace for Ladies 

P2400/month 
Inclusive of light & water
1-month advance + 1-month deposit

Along Mother Ignacia Avenue corner Scout Magbanua.
Very accessible location. Two corners away from Quezon Avenue.
Near Capitol Medical Center, St. Mary's College QC, Amoranto Sports Complex. Walking distance to Fisher Mall, St. Paul the Apostle Parish.

Strong & clean 24-hour water supply.
Flood-free location.
WIFI available for a minimum fee.",Mother Ignacia corner Scout Magbanua,,2,Metro Manila (NCR),Quezon City,Paligsahan,6.50,,,,https://www.carousell.ph/p/quezon-city-bedspace-1063108378/?t-id=_lYKpUXMVM_1612755682858&t-referrer_browse_type=search_results&t-referrer_request_id=WthQahhsNSVEo_yf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/16/quezon_city_bedspace_1610788285_c8449a41_progressive,
"Room for Rent & Bedspacer GIRLS ONLY @ V.luna near East Ave, Quezon City",2500,"Room for Rent / Lady Bedspacer  (preferably working professional / student)

*Php 2,500 (bedspacer good for 5)
*Php 5,000 (small solo room)
*Php 7,000  - solo room with no aircon
*Php 8,500 - solo room with aircon

vFee already INCLUDES electricity and water

Room: 

v 2nd floor / 3rd floor
v each room has its own bathroom/toilet

Amenities: 

v Free use of refrigerator, oven toaster and microwave
v Flat-screen television available in the living room (common area)
v Landline (local calls only) available in the living room (common area)
v Clothesline (sampayan) available at the laundry area on the roof deck


Location: (very safe)

* Pinyahan, Quezon City (near V. Luna, East Ave., Maginhawa, Sikatuna, Kamuning, Anonas, Kamias, Teacher's Village, UP Village)

* In-front of V. Luna Hospital / Near AFP Medical Center

* Walking / Near SM Savemore, BPI and BDO banks, Jollibee, Hap Chan, Beauty Salons and Barber Shops, Pre-schools

* 10 mins. away from East Avenue Medical Center, NKTI Lung Center, Philippine Heart Center, Quezon City Hall, LTO, SSS

* Conveniently near schools like Ateneo, Miriam, UP

* Conveniently near other grocery stores like Puregold and Hi-top

*  Conveniently near other restaurants, as well as the food strip along Maginhawa Street

* Near East Avenue (Mercury Drugstore, Metrobank, Pizza Hut, etc.)

* Close to jeepneys, tricycles, one ride to MRT (GMA Station), one ride to LRT (Anonas Station), one ride to UP Technohub


Open to female students, PT, med tech, OJT, nurses and other professionals.

For more details, please contact the caretaker Ms.Fely at 09151472223  / 09165895088 / 09069603354

For room  viewing, set appointment, message Nessie at  09954764253","Maginoo Street , Brgy. Pinayahan, corner V. Luna, Quezon City",,,Metro Manila (NCR),Quezon City,,25,,,,https://www.carousell.ph/p/room-for-rent-bedspacer-girls-only-v-luna-near-east-ave-quezon-city-253192437/?t-id=_lYKpUXMVM_1612755682858&t-referrer_browse_type=search_results&t-referrer_request_id=iHyyfMgaTsK9S7kY&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/6/7/room_for_rent_4000__bedspacer__1591508763_0efb22ac_progressive.jpg,description
Bedspace Condo Sharing Condo Share Room Rent Ortigas Mandaluyong Shaw,5500,"For viewing or inquiry, kindly text us at 0927-279-5575

Over the years, we're the top and premium choice for male and female professionals as their second home in providing outstanding and exceptional condo-share/co-living services. ?

HIGHLIGHTS:
? Our bedspace or condo sharing in Ortigas Mandaluyong is located at BSA Twin Towers, it's just a few seconds walk to SM Megamall, St. Francis Square Mall and The Podium Mall
? Walking distance to Robinson's Galleria, Shangri-La Mall, Ayala 30th Mall, Capitol Commons, Kapitolyo, Eton Cyberpod, Greenfield District, Meralco Avenue, Tektite/PSE, Rockwell Business Center (Sheridan & Ortigas)
? Just one bus or MRT ride going to Makati, Ayala, The Fort, BGC or Mckinley from Ortigas area (vice-versa)
? Dedicated caretakers for regular housekeeping
? We're the cleanest, most organized and quality condo-share unit you'll ever stay ?
? 24/7 security, flood-free zone, 24/7 walking distance restaurants and fast food chains
? 48 hours lead time to fix any repair or maintenance
? On-time or advance payment for water and electric bills. 100% assurance no utility interruption.
? Privacy bed curtains for upper and lower beds/bunks - original concept from us ? 

TEXT US: 09272795575

DETAILS:
• Monthly rate: P5,000 or P5,500 per occupant for our bedspace or condo sharing in Ortigas Mandaluyong
• Ideal for MALE or FEMALE occupants (separate condo units)
• Fully-furnished condo units
• Very well-maintained, air-conditioned condo unit with appliances
• Individual cabinets are provided 
•  Cooking is allowed
• Free use of amenities: Wi-Fi, two swimming pools (indoor and outdoor) and top-of-the-line gym

REACH US: 09272795575

MORE INFORMATION:
¦ Accessible to all sorts of transportation hubs
¦ A few minutes walk to MRT, Bus stations, FX Terminals, Taxi/Grab easy pick-up point
¦ Accessible to most office buildings, 24/7 restaurants and food hubs within the area.
¦ Very neat, organized, cozy unit for bedspace or condo sharing in Ortigas Mandaluyong

Very limited slots for our bedspace or condo sharing in Ortigas Mandaluyong!

? FRIENDLY REMINDERS ?
? There's no available solo/separate room/unit for ""one or two persons only""
? There's no available solo/separate room/unit for ""couple/family""
? There's no available unit/room for ""mixed"" male and female occupants
? ""Pets are not allowed"" inside the unit or building

CONTACT US: 09272795575","BSA Twin Towers, Ortigas Center, Mandaluyong",2,2,Metro Manila (NCR),Mandaluyong City,,80,,,,https://www.carousell.ph/p/bedspace-condo-sharing-condo-share-room-rent-ortigas-mandaluyong-shaw-238462867/?t-id=pkPVRrbcbk_1612756052182&t-referrer_browse_type=search_results&t-referrer_request_id=IgcV7fYbJbPI9LTB&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/11/212801_238462867_b75604f8.jpg,description
BEDSPACE for Rent MALE Manila back of UST near Dangwa SM San Lazaro,990,"Bedspace in a concrete room in Laon Laan ,Sampaloc 

only 4 in a room
has high ceiling with big wide windows
well ventilated and illuminated
freshko 
with individual cabinet, closet, electric fan, mattress(not in d pics)
with study table, chairs, study lamp 
is clean, well-maintained 
is safe , (no curfew yet safe and secured)
is quiet and private
with a big terrace and a living room , washing area, etc.. 
cheapest rent
has no mosquitoes and other pests
very clean well maintained comfort room and bathroom
water dispenser provided
flood free area
room mates well-screened for security
COVID-FREE
near Review Centers in Espana 
UST students or other school in university belt
   working..reviewees and seaman, trainees, transients
send text to 0906 159 9454 or to messenger  Billy S. Madrid",,,,Metro Manila (NCR),Manila,,20,,,,https://www.carousell.ph/p/bedspace-for-rent-male-manila-back-of-ust-near-dangwa-sm-san-lazaro-238851598/?t-id=pkPVRrbcbk_1612756052182&t-referrer_browse_type=search_results&t-referrer_request_id=IgcV7fYbJbPI9LTB&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/12/175447_238851598_bbb38270.jpg,
Lady Bedspacer,2000,"Exclusive for lady bedspace.
Apartment style. 
No need deposit. Advanced payment only when you move in. 
Walking distance from MRT, LRT cubao,farmer's, alimall, gateway, araneta coliseum, sm, shopwise, Qmart market, near all terminal buses,near cubao edsa and Aurora blvd very accessible for public transport. 
Inclusive wifi, water, drinking water and electricity bill. (other appliances can be charge)
No need to bring foam(just provide pillow and bedsheet) , fan and cabinet. 
Also available room for rent(solo) 
Please contact Maricel Salmasan for more details :09151551815",23b saint mary st cubao quezon city,,,Metro Manila (NCR),Quezon City,,0,,,,https://www.carousell.ph/p/lady-bedspacer-263591011/?t-id=ON2fmHtiv-_1612756255807&t-referrer_browse_type=search_results&t-referrer_request_id=cf6CUbEmeb4fs-dx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/11/21/lady_bedspacer_1574325134_299609e2_progressive.jpg,
2 Newly refurbished Lady Bedspace rooms,2500,"Lady Bedspace with up to 100 mbps, aircon and non-ac rooms.
?DETAILS:
-Fixed ALL IN, bills are included in the rent
-Drinking water with hot and cold water dispenser
-Unlimited Fiber wifi (Plan 100 MBPS with 3 wifi routers)
-Cleaner visits once a week
-Free TV use
-Free Refrigerator use
-Free use of common terrace, sala and kitchen
-3 Common CR
-Butane stove
-Free landline phone use
-No curfew
-Visitors allowed
-CCTV
-Keys provided (Must be surrendered once tenancy ends)
-No extra fee for gadgets, manual laundry, rice cooker, etc
-100 fee per use of washing machine/500 fee unli use of washing machine per month


?2500 FAN ROOM (MAX OF 6):
-1 fan each
-Double deck bed with uratex foam
-Orocan drawer with lock


?3000 AC ROOM (MAX OF 6):
-Aircon 14 hours a day
-Double deck bed with uratex foam
-Orocan drawers


?2500 FAN ROOM (MAX OF 8):
-1 fan each
-Double deck bed with uratex foam
-Lockers


?3000 FAN ROOM (MAX OF 4):
-1 fan each
-Double deck bed with uratex foam
-Lockers


?3500 AC ROOM (MAX OF 2):
-Aircon 12 hours a day
-Double deck bed with uratex foam
-Drawers


?1 MONTH ADVANCE, 1 MONTH DEPOSIT (MINIMUM OF 2 MONTHS)
FIRST COME FIRST SERVE
JUST SHOW 2 VALID ID OR NBI CLEARANCE/POLICE CLEARANCE

?ADDRESS:
6176 Salvador Estate Dr. A Santos Avenue Brgy San Isidro Sucat Paranaque City

?LANDMARK:
Green gate with pole bamboos and bougainvillea beside dental clinic and bridge. (The place can be seen from the highway already)

1 RIDE AWAY FROM CITY OF DREAMS, SM SUCAT, NAIA, MIA, SM BF, SANTANA GROVE, PASCOR, OLIVAREZ, VALLEY 2, LOPEZ,VALLEY 1, BACLARAN ETC
WALKING DISTANCE FROM EVACOM, GATCHALIAN, PATTS, AND UNIVERSAL COLLEGE

?PM OR CONTACT 09956121049// 09777128208 FOR MORE INFO. THANKS",6176 Salvador Estate Sucat Brgy San Isidro,4,4,Metro Manila (NCR),Paranaque City,,200,,,,https://www.carousell.ph/p/2-newly-refurbished-lady-bedspace-rooms-256373194/?t-id=ON2fmHtiv-_1612756255807&t-referrer_browse_type=search_results&t-referrer_request_id=cf6CUbEmeb4fs-dx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/10/12/2_newly_refurbished_lady_bedspace_rooms_1570878029_8dbebcc0_progressive.jpg,description
Bedspace for ladies rotonda pasig,2000,"Bedspace for ladies only
2000 all in
3min walk from rotonda
22f caruncho st caniogan pasig
(0942) 207 06 07",,,,Metro Manila (NCR),Pasig City,,,,,,https://www.carousell.ph/p/bedspace-for-ladies-rotonda-pasig-238543849/?t-id=ON2fmHtiv-_1612756255807&t-referrer_browse_type=search_results&t-referrer_request_id=cf6CUbEmeb4fs-dx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/11/235809_238543849_31f7f333.jpg,
Bedspace for ladies rotonda pasig,2000,"3min walk from rotonda pasig
1month advance 1 month deposit
Inclusions water,elec,matress,pillow
2 toilets and bath
4pax per room

Address 22f caruncho st caniogan pasig nearest landmark sagad highschool,rusi motorcycle 
(0942)207 06 07",,,,Metro Manila (NCR),Pasig City,,,,,,https://www.carousell.ph/p/bedspace-for-ladies-rotonda-pasig-238543851/?t-id=ON2fmHtiv-_1612756255807&t-referrer_browse_type=search_results&t-referrer_request_id=cf6CUbEmeb4fs-dx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/11/235809_238543851_0469179f.jpg,
Bonifacio Heights Condominium McKinley BGC Male condosharing Bedspace,4500,"2 BEDROOMw FULLY FURNISHED CONDO
?4500-?5500 MALE Condosharing/Bedspace McKinley BGC Taguig Move in ASAP
Location: BONIFACIO HEIGHTS CONDOMINIUM Lawton Ave, Fort Bonifacio
??1st room shared by 2 persons (5500/head)= NO SLOT available/fully occupied

??2nd room shared by 4 persons (4800/head)= 2 SLOT available only. first come first serve basis
+Air-coned rooms 
+Cooking allowed
+Swimming pool
+Basket ball court
+Built in cabinets
+Fan
+bike parking
+WiFi
+Bed and foam
+Refrigerator 
+Utensils

??FULLY FURNISHED STUDIO UNIT
-Shared by 6 persons (4500/head)=2 slots available

Available in the condominium: Grocery stores,drinkingwater station,laundry serv,Bayad center, Pantry,Clubhouse

PAYMENT TERM:1mon advance and 1mon security deposit. 
Very convinient to Cyber Sigma,west mckinley, Telus, Venice Mall,Cognizant,Optum, Onewolrd Squere, BGC, SM Aura.
5 mins away to McKinley, 10mins away to BGC at Bonifacio Heights Condominium for working Professionals only.Superb amenities & 24/7 security
Very affordable, Very convenient, secured and peaceful place.
On a budget ka? WFH set up? Skeletal? Dito ka na.
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**",Bonifacio Heights condominium Lawton Ave The Fort,2,1,Metro Manila (NCR),Taguig,,0,,0,,https://www.carousell.ph/p/bonifacio-heights-condominium-mckinley-bgc-male-condosharing-bedspace-280829165/?t-id=ON2fmHtiv-_1612756255807&t-referrer_browse_type=search_results&t-referrer_request_id=cf6CUbEmeb4fs-dx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127128_6ae01b89_progressive.jpg,description
