Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Garden,Link,Image
Bedspace for Rent Laguna,1800,"Bedspace for rent, Php 1,800.00
along the Old National Highway
Brgy. Dila, Sta. Rosa, Laguna

Convenient location
Walking distance to and from
Balibago Complex/Santa Rosa Transport Terminal.

One ride to: Asia Brewery, Nestle, Tanduay, SM Sta. Rosa, Robinsons, Pavilion, Target Mall & many others!

Inclusive of Water & Electricity :)
With Unlimited WiFi Access

Amenities:
24 hour security
CCTV cameras
Private toilet & bath per room
Toilet separate from shower
Cooking area
Laundry cages
Large backyard
Fire Safety with alarms
Professionally managed

Viewing Hours:
Monday - Friday 8:30am - 6:00pm
Saturday 8:30am - 12:00nn
CLOSED during Sundays & Holidays

NOTE: Rates are subject to change",Dila,4,2,Calabarzon,Santa Rosa,,26,,,,,https://www.carousell.ph/p/bedspace-for-rent-laguna-238530136/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace For Rent in Makati for female only,3000,"Bedspace For Rent in Makati for female only

3000 lower bed
2800 upper bed

Price: 3000.00
Area: 15-20-square meters
Max Occupancy: 4persons per room

Terms: 
1month Deposit
1month Advance 
6months to 1year Contract

-Toilet with Sink and Shower
-CCTV Surveillance on Premises
-Secured Door Access
-Fire Precautionary System
-Free WiFi in Common Area / Visiting Area

Location:
-1 Ride away from Makati Ayala CBD area
-Near Shopwise Makati
-Near PRC Mcdo , Jollibee , Mang Inasal , 7-11

Location : 4319 Kalayaan Ave. Barangay Sta. Cruz , Makati City

Look For Ms Darah for inquiries Less","4319 Kalayaan Ave. Barangay Sta. Cruz , Makati City",4,5,Metro Manila (NCR),Makati City,,100,,,,,https://www.carousell.ph/p/bedspace-for-rent-in-makati-for-female-only-239809634/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace for rent at SM Light,4000,"Rate is all in.
Along Edsa connected to MRT 3.
Mall at the ground and 2nd level.
Fully furnished.
Rate is all in. 
1 mo. advance and 2,000 deposit.

FOR FEMALES ONLY. 

Msg me at 09478675534, before calling.",Edsa cor. Madison St.,1,1,Metro Manila (NCR),Mandaluyong City,,29,,0,,,https://www.carousell.ph/p/bedspace-for-rent-at-sm-light-273271292/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspacing for Men in Paranaque for 2k only,2000,"Two BR Apartment located in Bisa Building Perpetual Village Baes St. East Service Road SLEX, Muntinlupa City

Available 24/7 Security guard for the building

No parking space allotted, but it is easy to park in the streets, as this is a residential area.

Walking distances to Gas Station, Convenience Stores (AlfaMart), Carenderia, Water Station, Laundry, 

Near SM Bicutan (1km), Waltermart(500m), one jeepney ride away.

Near public transports

Price includes utilities, like water and electricity. All in for 2k

Landline: 87883485
Cellphone: 63 906 480 3141","Bisa Building Perpetual Village Baes St. East Service Road SLEX, Muntinlupa City",1,1,Metro Manila (NCR),Muntinlupa City,,15,,,,,https://www.carousell.ph/p/bedspacing-for-men-in-paranaque-for-2k-only-246628124/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Condo Room / Bedspace for Rent,10000,"- good for 2-3 pax
- rent inclusive of water, cable TV and wifi
- walking distance to Santolan LRT Station, malls and supermarkets
- condo amenities include gym and swimming pool use
- with CCTVs and 24/7 security
- 100% flood-free
- one month depo, one month advance","Bali Oasis, Marcos Highway, ",1,1,Metro Manila (NCR),Pasig City,,10,,,,,https://www.carousell.ph/p/condo-room-bedspace-for-rent-1038849405/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Female Bedspace Makati,2800,"Walking distance to Makati Ave., Century City Mall, A.Venue Mall, Antel Towers Gramercy Residence, MIlano Residences, Knightbridge Residences accessible to Ayala, Rockwell, Gil Puyat Ave., Ayala Center, Greenbelt, Mapua Mkt.,Salcedo Vill. Paseo DeRoxas CEU. 
Room for 2 pax  Php. 3,000/ head , Room for 6 pax air condition (metered)  Php.3,000/ head  Room for 4 pax air condition (metered) Php. 3000/head and 10 pax Php. 2.800/ head
-1mos. adv./ 1mos dep. /6mos contract 
- 3 C.R. 3 Shower Rooms 
-Electricity and Water 
-Free Wifi
-Laundry/Ironing is ALLOWED.
-With CCTV 24/7
-Cooking not allowed","2861 E. Zobel St., cor JP Rizal Ave., Poblacion, Makati City",5,5,Metro Manila (NCR),Makati City,,150,,,,,https://www.carousell.ph/p/female-bedspace-makati-238535898/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Ladies Dorm Beside UP Town Center Katipunan UP ATENEO Bedspace or Solo,2000,"Ladies dorm rooms available!!! Bedspace Available!!! Solo Occupancy Accepted

No Curfew, with WIFI and Caretaker

Beside the UP Town Center carpark

Along Katipunan, near UP Campus , Ateneo , Technohub , UP Town Center , MWSS, LRT , MRT , Quezon City Hall Tandang Sora

A very good location for students, call center agents, etc.

4 persons per room

with own beds, chairs, and cabinets per room

with study table per room

with own bathroom per room

1 mess hall


Drinking water is P150 per month per person


P100 per month for water consumption


Electric submeter per room


with a caretaker


We are looking for long term tenants

We require one month advance, two months deposit",20-A N. Perez Interior Pansol Balara Diliman Quezon City,1,1,Metro Manila (NCR),Quezon City,,20,,,,,https://www.carousell.ph/p/ladies-dorm-beside-up-town-center-katipunan-up-ateneo-bedspace-or-solo-242053620/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace or Room for rent,4000,"Bedspace 4k per month. (Or room for rent 12k per month) Includes bed with mattress, water and electricity, electric fan, small cabinet, drinking water, limited laundry.",Tirona st Phase1 BF Homes Parañaque,1,1,Metro Manila (NCR),Paranaque City,,28,,,,,https://www.carousell.ph/p/bedspace-or-room-for-rent-1026173307/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace/Room Rental,7000,"STUDIO ROOM for 2
WITH BATHROOM
KITCHEN & SINK
PHP 7,000/MO

Located in the boundary of Mandaluyong, Manila and San Juan
Good neighborhood & Safe environment (in a subdivision) 
Few steps from a convenience & grocery stores

1 ride to SM Megamall / Ortigas / Pasig / Boni
1 ride to SM Sta. Mesa / PUP Sta. Mesa / LRT 2 / Quiapo 

INCLUSION:
2 Stool
1 Single Bedframe
2 4-tier cabinet

Water consumption (headcount charges)
Electricity (sub-metered for charges)
Wifi-ready (charges apply)
Can cook (rangehood-ready)

*Terms & Conditions apply.","V.Mapa Ext. Sta.Mesa, Manila
Boundary of Manila, Mandaluyong and San Juan",1,1,Metro Manila (NCR),Mandaluyong City,,n/a,,,,,https://www.carousell.ph/p/bedspace-room-rental-273308829/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
"Female Bedspacer/House sharing only for 3, all included!",2900,"2 Female Bedspacers
(House sharing for 3 females only.)
Inclusive of Electricity, water, cooking gas and high speed Internet. With new bed and mattresses. Plus clothing storages. Can cook and do some laundry.
Location: Cypress Rd., Pilar Village, LP

1 month advanced and 1 month deposit.
For more inquiries pls. text first instead of calling. 09086850044","19 Cypress Rd., Pilar Village, Las Pinas City",1,1,Metro Manila (NCR),Las Pinas,Pilar,17,,,,,https://www.carousell.ph/p/female-bedspacer-house-sharing-only-for-3-all-included-1054700522/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=axD_EwUGFETxbO3t&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace For Rent Mandaluyong,3300,"BEDSPACE MALE OR FEMALE FOR RENT

Inclusive of
- Bunk Beds
- Water
- Electricity
- Internet (Wifi)

5 mins walk NEAR BONI MRT 

Contact 09167090199 for more details",Unit 4 No 59 Cordillera Street Brgy Highway Hills,1,1,Metro Manila (NCR),Mandaluyong City,,48,,,,,https://www.carousell.ph/p/bedspace-for-rent-mandaluyong-1013022721/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=axD_EwUGFETxbO3t&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Lady Bedspace,2500,"Duplex style apartment. 1  apartment with aircon rooms and other separate apartment has no aircon.
Free wifi
3 toilets
The place is accessible to all routes going to BGC (walking distance to JP Morgan), Buendia, Edsa etc.. 
For more information please call 09063709158. ","452 DV Laurilla Street, Brgy. Pitogo, Makati City",2,3,Metro Manila (NCR),Makati City,,110,,,,,https://www.carousell.ph/p/lady-bedspace-1013051773/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Lady bedspace,2500,"Rooms with aircon and rooms without aircon available.. 
Free WiFi
Can cook and and wash clothes
1 month advance 1 month deposit
With bed and mattress included
Accessible to all routes. Walking distance to BGC St. Luke's. Near MRT. Near Edsa. ",452 Samar Street Barangay Pitogo Makati City,5,5,Metro Manila (NCR),Makati City,,110,,,,,https://www.carousell.ph/p/lady-bedspace-241057898/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
