Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Lady Bedspacers,3500,"Ideal for working class. Transfer near your work.

5mins walk to Perpetual Succor Hospital
12mins walk from UST Hospital
8min walk to Ospital ng Sampaloc

2min walk from National University.
M.F. Jhocson st. Near Mang Chaa
Near Bus Terminals Victory Liner & Dalin Liner
Near Market

Lady bedspacers.
Built in cabinets
3500/pax monthly
included water and electricity.
Has common area and shared bathroom. 
Has kitchen and laundry area.
Cooking and washing is allowed.",M. F. JHOCSON ST,2,1,Metro Manila (NCR),Manila,Brgy. 405,15,,,,https://www.carousell.ph/p/lady-bedspacers-275828648/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspacers,3500,"Ideal for working class. Transfer near your work.

5mins walk to Perpetual Succor Hospital
12mins walk from UST Hospital
8min walk to Ospital ng Sampaloc
2min walk from National University
10min by car to SM Manila

M.F. Jhocson st. Near Mang Chaa
Near Bus Terminals Victory Liner & Dalin Liner
Near Market

Lady bedspacers.
Built in cabinets
3500/pax monthly
included water and electricity.
Has common area and shared bathroom. 
Has kitchen and laundry area.
Cooking and washing is allowed",M. F. Jhocson St.,1,1,Metro Manila (NCR),Manila,Brgy. 405,20,,,,https://www.carousell.ph/p/lady-bedspacers-242346077/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacer,2000,"Exclusive for lady bedspace.
Apartment style. 
No need deposit. Advanced payment only when you move in. 
Walking distance from MRT, LRT cubao,farmer's, alimall, gateway, araneta coliseum, sm, shopwise, Qmart market, near all terminal buses,near cubao edsa and Aurora blvd very accessible for public transport. 
Inclusive wifi, water, drinking water and electricity bill. (other appliances can be charge)
No need to bring foam(just provide pillow and bedsheet) , fan and cabinet. 
Also available room for rent(solo) 
Please contact Maricel Salmasan for more details :09151551815",23b saint mary st cubao quezon city,1,1,Metro Manila (NCR),Quezon City,Brgy. E Rodriguez,N/A,,,,https://www.carousell.ph/p/lady-bedspacer-263591011/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Boarding House for Male and Female Bedspacer Luta Sur Malvar Batangas,1300,"Brand New Boarding House for male and female bedspacers
(for employees working in the ffg: locations:) Calamba Laguna, Sto. Tomas, Batangas, Tanauan, Batangas, Malvar, Batangas, and Lipa, Batangas)

-Brand New Boarding House Unit
(1 Room-4 Persons,1 Room-2 Persons & 1 Folding Bed for Male Boarder)
- Monthly Rent-Php 1,200/month per Boarder 
-With Electricity & strong water supply (minimum payment to be paid by owner)
-with cabinets in every room and with electric fan, electric stove, water heater, and electric kettle
-with laundry area and clean CR
-Located along J.P. Laurel Highway
-with safe and secure environment

For inquiries,contact
Ron (contact# placed at upper right corner of screen)",JP Laurel Highway,2,1,Calabarzon,Malvar,Brgy. Luta Sur,60,,,,https://www.carousell.ph/p/boarding-house-for-male-and-female-bedspacer-luta-sur-malvar-batangas-238557399/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace,2500,"Lady Bed Spacer / 2.500 Only
- Apartment Type( w/2nd floor )
- 1 Common Cr
- Kitchen & Dining
- Laundry Area
- Cctv 24 /7 Security Safety
-Terms:
- Monthly Rate: 2500 Each
- Note: 1 month Deposit 1 month Advance
Inclusions:
*Bed
*Uratex Foam 3inch Thick
*Storage Cabinet 
*Water
*Electricity
-Unlimited Wifi (300 mbps)FibrSpeed
- Near V luna Hospital
- Near Kamias Road
- Near East Ave / Heart Center.
- Near Gma kamuning and Abs-Cbn
- Near EDSA ,Cuabo , MRT , LRT stations
- Near Q-mart ,SM Savemore
- Near Church , and other Malls. . . etc. .
Location:
- 16 Mapang-Akit St Brngy Pinyahan QC
For Inquiries, Pls. contact : +639483662000/ 86500665",16-C  Mapang- akit st ,3,1,Metro Manila (NCR),Quezon City,Pinyahan,25,,,,https://www.carousell.ph/p/lady-bedspace-1057084903/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=eyVGOVCf-D06B2CJ&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Ladies Bedspace Cubao QC Boarders Bedspacers,2000,"Looking for LADY BEDSPACERS 
Cubao

*water and electricity not inclusive in the rates*

*Each room accomodates ""6 PERSONS""
*Each room has own CR and KITCHEN SINK
*Furnished with BED and MATRESS, *CABINET with lock for each bedspacer
* rooms with Electric Fan
* Dormitory has 24/7 SECURITY GUARD and Security Cameras
* FREE WIFI
* FREE housekeeping services

- 5min walk to SM HYPERMART
-10-12 mins walk to Gateway, Farmers Plaza, Shopwise
-8-9 mins walk to Telus, Egs, Ali Mall, SM

Accessibility
-5mins walk to Main Ave bus stop to North Edsa or Ortigas
-10mins walk to LRT2 and MRT3 
- walking distance to jeepneys going to EASTWOOD","37 8th avenue, Cubao",1,1,Metro Manila (NCR),Quezon City,Brgy. Socorro,25,,,,https://www.carousell.ph/p/ladies-bedspace-cubao-qc-boarders-bedspacers-238767323/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspace for rent airlane near terminal 1 airport,3700,"Lady bedspace for rent 
Very spacious house with kitchen,laundry area and living room. 
Waking distance terminal 1 airport
Airlane village Brgy Vitalez
Village with security guard

3.7k inclusive of electricity and water

09165080458",105 Pal Drive,1,2,Metro Manila (NCR),Paranaque City,Vitalez,450,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-airlane-near-terminal-1-airport-1049258714/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Studio Type Residential Apartment For Rent Fully Furnished/BEDSPACE RM,5000,"""Ready for inspection""

Fully Furnished Apartment
Near SM Molino, Vista Mall, and The District
Near to Puregold Molino Town Center (Soon to Open)
Walking distance to Metro South Medical Hospital
Walking distance to Pharmacies, Convenience Store and Eateries
1 Ride to Lawton, MOA, LRT MRT Pasay, Makati and Baclaran via UV Express
Peaceful, Safe and Secured Community
With own Electric and Water Meters 
With Car Slot/Motorcycle Slot
BEDSPACE ROOM for WORKING CLASS LADIES only-P2000 each max 2 single BEDS(inquire),ALSO FURNISHED with,REFRIGERATOR,STEREO CASSETTE,washing machine,electric fan,stove, two STUDIOS are AVAILABLE!ASAP lady BEDSPACERS of SM,PUREGOLD,VISTA MALL or DISTRICT preferred,Max of 3 for SPACERS!Max of two without KIDS for married or WORKING types!


Terms and Conditions:

2 Months Security Deposit + 1 Month Advance
Pay P15,000
CASH to Move In

Please contact my number 09183527408 for inquiries",Block 5 Lot 1 Phase 1 ,1,1,Calabarzon,Bacoor,"Maryhomes Subdivision, Molino 4",15,,2,,https://www.carousell.ph/p/studio-type-residential-apartment-for-rent-fully-furnished-bedspace-rm-238577424/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for rent / condo sharing,5000,"FOR FEMALE Bedspace for rent/ Condo sharing
Php5000/head per month ALL IN

Victoria de Manila, Taft Avenue, Malate Manila

-with refrigerator
-with fan
-utilities(electric/water)
-free WIFI connection
-with induction cooker

Very accessible to:
-Robinsons Manila
-PGH
-US Embassy
-Pedro gil LRT station
-Paco Market/Savemore 
-7/11
-Banks (BDO, BPI, Sec Bank)

Pm for details: 0999 358 5897",1655 Taft Avenue Malate Manila,3,1,Metro Manila (NCR),Manila,Pedro Gil,10,,,,https://www.carousell.ph/p/bedspace-for-rent-condo-sharing-277640714/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Dorm Room Rent Dormitory Apartment Bedspace Pasig Ortigas,3400,"We are a family owned apartment and dormitory company offering affordable housing solutions. We are tapping into the close proximity companies to approach this with a sustainable aspect by reducing the carbon footprints associated with travel and traffic. This also promotes productivity by reducing travel time, improved employee welfare by eliminating the long commute, and savings from transportation costs.This also reduces the risk of exposure of your employees to external elements in these period of health uncertainties. 
 
We are promoting our dormitory style units that can accommodate anywhere from single to 6 pax rooms. We have a total of 146 beds in 38 rooms, and several companies have made this available to their employees either as an option and sometimes even as a benefit. We are also POGO free in the entire building.
 
We can either set a meeting for us to explain further or schedule a visit to inspect our units. 

Imee or Joyce
0977-463 5649
(02) 7747-2631",Corbell Flats. 1 Sta. Rosa de Lima Extension,1,1,Metro Manila (NCR),Pasig City,Bagong Ilog,16,,,,https://www.carousell.ph/p/dorm-room-rent-dormitory-apartment-bedspace-pasig-ortigas-1022906664/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace,1500,"2 SLOTS AVAILABLE (as of 8/12/2020)

Conveniently located near shopping centers in Monumento ( SM-Hypermarket, Puregold-Samson, Araneta Square, Victory Mall, and more). Accessible to all modes of transportation (city and provincial buses, LRT, and jeepneys).

Conditions:

     No need for deposits, just pay in
     advance once you move in.

     A bed is already provided, just bring
     your pillow and bedsheet.

     An orbit fan and a desk fan is 
     already provided.

     Basic water and electricity use is
     included in the price.


Ammenities available for subscription:

     Wi-Fi / Internet services

     Purified drinking water

     LPG use


Additional fee:

     Appliances brought in
  

If you're interested, please leave a message.","Gen. R. Simon corner Calle Uno, ",2,1,Metro Manila (NCR),Caloocan City,Bgy. 81,32,,,,https://www.carousell.ph/p/female-bedspace-261470892/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Dormitory in Makati-Room and bedspace rental,2800,"- Reasonable rate Php 2,800 up with
    free basic electricity and water
-Proper registered as dormitory
-Center Location next to MRT , various      
    bus and jeepney routes
-Mostly one ride to destination like BGC, 
   Ayala, Ortigas,Pasay and others.
-Every floor has its own sitting area with 
    TV
-Premises is fully secured with guard 
   and CCTV Camera
-Building is fully equipped with     
   approved fire protection system
-Canteen with TV
-Free Wifi and purified hot and cold 
   drinking water.",8602 Sgt.Fabian Yabut Street.Guadalupe Nuevo Makati City,5,5,Metro Manila (NCR),Makati City,Guadalupe Nuevo,9,,,,https://www.carousell.ph/p/dormitory-in-makati-room-and-bedspace-rental-1052915757/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=m5wjRmnBxSAmQJtD&t-referrer_search_query=bedspace&t-referrer_sort_by=populara
Bedspace Ortigas Pasig San Antonio for Rent Bedspacer Dorm boarding house bed space room share,3700,"BEDSPACE for GIRLS at San Antonio Village, Ortigas Center, Pasig City  (For Female only)

Very ideal and safe for those working in Ortigas, Pasig, Boni & Mandaluyong Area.

~ FREE FAST 25mbps WIFI
~ Bed with 3"" Uratex Foam
~ Individual Electric Fan provided
~ With Built-in Cabinets 
~ Furnished
~ Cooking Allowed with Ref, Rice Cooker, Stove
~ Laundry Allowed With Laundry Area
~ NO Curfew
~ Big Dining / Living room area
~ 24 hrs Security & CCTV
~ Exclusive for Ladies, girls, woman only 
~ 2 months minimum stay

6 in the Room:
Upperdeck - P3700 
Lowerdeck - P3900 

4 in the Room:
Upperdeck - P4000  

1 month Advance + 1 month Deposit.

For more info contact : 09176056862

~ Very Near Meralco Ave / Estancia Mall / Maersk / Capitol Commons
~ 6mins walk  Astoria / Millenia Tower / NEDA / Shaw Blvd
~ 7mins walk Ayala 30th
~ 7mins walk Julia Vargas
~ 8mins walk One San Miguel
~ 11mins walk Pioneer Centre
~ 11mins walk Cityland Shaw Tower
~ 12mins walk Tycoon Center / University Asia Pacific
~ 13mins walk Philippine Stock Exchange Tektite
~ 13mins walk Rockwell Sheridan
~ 15mins walk MRT Shaw Station / Shangri-la / Megamall

~ Within Ortigas Center",San Antonio Village,2,2,Metro Manila (NCR),Pasig City,Ortigas Center,160,,,,https://www.carousell.ph/p/bedspace-ortigas-pasig-san-antonio-for-rent-bedspacer-dorm-boarding-house-bed-space-room-share-1052875118/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=umGHwtfK-10Ls7Um&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace in Makati,1900,"AMENITIES:

ROOM: 
Beds and mattresses, side tables, electric fans and ind'l. built-in cabinet w/ lock set. 

COMMON AREA: 
Sala set, dining table, refrigerator, electric fans, Cignal satellite TV, DVD, WiFi, emergency lights, fire extinguisher, microwave oven , water dispenser(free filtered /ozonized H2O), electric iron , lav, 2 T&B(w/ bidet) & 1 dedicated shower room. No cooking policy. 

LOCATION: 
Near (PRC)/CIRCUIT & Makati loop Puregold terminal.

WALKING DISTANCE from:
PRC/(CIRCUIT) Pasong Tamo /J.P. Rizal PUREGOLD 

1 RIDE from: 
Ayala Triangle/Guadalupe/Buendia Taft/Magallanes P. Tamo /Taft Herran /Paco 

TERMS:
1 month advance & 1 month deposit (Rent includes water & electricity)",N/A,N/A,N/A,Metro Manila (NCR),Makati City,N/A,N/A,,,,https://www.carousell.ph/p/female-bedspace-in-makati-238533998/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace in a Nice Big Room nr Katipunan QC,4900,"Looking for a Housemate in a fully-furnished room in a mid-rise condo in QC. The unit is equipped with ref, kitchen items, washing machine, tables, etc. The available room is the masters BR so it is quite cozy and spacious with own T&B with hot shower. Within a very secured village. 

For students/professionals. Near UP, Ateneo, Miriam, Technohub, UP Town Centre, MRT station, QC Hall, Trinoma, and SM North Edsa, 

This is a shared unit amongst 2 friendly professionals who work and study within the area. There is a house guidelines everyone follows to ensure cleanliness & safety of the household members. Guaranteed you will like it here! Avlbl by Jun 2019.

PM/Call to schedule for viewing.",N/A,3,2,Metro Manila (NCR),Quezon City,N/A,80,,,,https://www.carousell.ph/p/bedspace-in-a-nice-big-room-nr-katipunan-qc-238501906/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Room for Rent & Bedspacer LADIES @ V.luna near East Ave, Quezon City",2500,"Room for Rent / Lady Bedspacer  (preferably working professional / student)

*Php 2,500 (bedspacer good for 5)
*Php 3,000 (bedspacer good for 2)
*Php 4k-5,000 (small solo room)
*Php 7,000  - solo room with no aircon
*Php 8,500 - solo room with aircon

Fee already INCLUDES electricity and water

Room: 

-2nd floor / 3rd floor
-each room has its own bathroom/toilet

Amenities: 

-Free use of refrigerator, oven toaster and microwave
-Flat-screen television available in the living room (common area)
-Landline (local calls only) available in the living room (common area)
-Clothesline (sampayan) available at the laundry area on the roof deck


Location: (very safe)

* Pinyahan, Quezon City (near V. Luna, East Ave., Maginhawa, Sikatuna, Kamuning, Anonas, Kamias, Teacher's Village, UP Village)

* In-front of V. Luna Hospital / Near AFP Medical Center

* Walking / Near SM Savemore, BPI and BDO banks, Jollibee, Hap Chan, Beauty Salons and Barber Shops, Pre-schools

* 10 mins. away from East Avenue Medical Center, NKTI Lung Center, Philippine Heart Center, Quezon City Hall, LTO, SSS

* Conveniently near schools like Ateneo, Miriam, UP

* Conveniently near other grocery stores like Puregold and Hi-top

*  Conveniently near other restaurants, as well as the food strip along Maginhawa Street

* Near East Avenue (Mercury Drugstore, Metrobank, Pizza Hut, etc.)

* Close to jeepneys, tricycles, one ride to MRT (GMA Station), one ride to LRT (Anonas Station), one ride to UP Technohub


Open to female students, PT, med tech, OJT, nurses and other professionals.


For room  viewing, set appointment, message Nessie at  09954764253",9 Maginoo Street,2,2,Metro Manila (NCR),Quezon City,Brgy. Pinayahan,25,,,,https://www.carousell.ph/p/room-for-rent-bedspacer-ladies-v-luna-near-east-ave-quezon-city-253192437/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
For Rent Female Bedspacer in San Juan Metro Manila,2700,"This listing is hosted on Carousell on behalf of OLX Philippines.
For Rent: Female Bedspacer

* Near San Juan City Hall (old), Puregold Agora, CCP, UERM, Rob Magnolia.

* Rent is inclusive of water, electricity and wifi
* With cabinet, double deck, uratex foam, electric fan

*1st flr (2 beds Available now)- 2 persons per room

*2nd flr  (1 bed Available now)- 2 persons per room

* 3rd Floor (1 bed Available now)- 4 persons per room

*3rd flr (0 bed avail- big room can fit 6 persons)- w/ cr inside the room

* 4th Floor (1 bed Available now)- 4 persons per room

Requirements:
- 1mo deposit and 1mo advance rent (consumable)
- 500 for keys deposit (refundable)
- Resume and copy of government ID

For questions please call or text me.",N/A,5,5,Metro Manila (NCR),San Juan City,N/A,300,,,,https://www.carousell.ph/p/for-rent-female-bedspacer-in-san-juan-metro-manila-238810070/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Rent Dian Street San Isidro Makati,3000,"FOR LADIES ONLY
PRICE: 3,000 per person
Max Occupancy: 4 persons per room

Terms:

1-month deposit
1-month advance ( refundable upon moving out)

Inclusive of:

Water Consumption
Electricity
Free Wifi 
Cold Filtered Drinking Water
Foam Mattress
Electric fans
Common Toilet with sink and shower
Surveillance Security Camera
Common Dining Area
No Laundry ( limited to undergarments )

Location: Dian Street near Lrt Buendia and Ayala CBD",Dian Street,2,2,Metro Manila (NCR),Makati City,Brgy. San Isidro,40,,,,https://www.carousell.ph/p/bedspace-for-rent-dian-street-san-isidro-makati-238585507/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Boarding House Ladies Quezon City Kamuning T Morato Scout,2900,"PLS TEXT   09177471777  for immediate response to inquiry.  

Location classification : Residential, 1 block off Kamuning Road & Tomas Morato. 
Very accessible to transportation. 
In the vicinity of:   Roces Ave, Timog Ave, E Rodgriguez, GMA, ABS-CBN, ST. LUKE'S

AMENITIES:  
Internet
Single mattress. 
Bed linen:  bed sheets, pillow, pillow cases 
Individual hampers  
Individual steel lockers
Ample sockets for phone, computer charging
Powerful ceiling fans
Electricity
Water

FREE SERVICES: 
Housekeeping

OTHERS:
Ample bathrooms and toilets
Good ventilation

RATE: P2,900.00 per month
TERMS:  1 month deposit, one month advance",31 K1st Kamuning Road,5,5,Metro Manila (NCR),Quezon City,Tomas Morato,100,,,,https://www.carousell.ph/p/bedspace-boarding-house-ladies-quezon-city-kamuning-t-morato-scout-239169077/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"BEDSPACE FOR GIRLS. Ortigas - Pasig 2,900 all in - monthly",2900,"BEDSPACE STRICTLY FOR GIRLS ONLY.

2,900 ALL IN - monthly

Electricity and water
Can cook (but you will share for gas)
TV with cable
Wall fans
Table and chairs
CR inside the room
Own cabinet
Can do laundry

Very Safe and clean
Flood FREE
Accessible to all transportation
Surveillance cameras protected

Near Ortigas, Megamall, Robinsons Galleria, Starmall, Greenfield, Shaw Blvd., Capitol Commons.

For more info, 
Call or Text me on my number. 09179623766

Thanks Godbless","25 Banaag St,",1,1,Metro Manila (NCR),Pasig City,Pineda,999,,,,https://www.carousell.ph/p/bedspace-for-girls-ortigas-pasig-2-900-all-in-monthly-251545983/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Ladies Bedspace or Ladies Room for rent Good for 1-2 person.,2800,"Ladies Bedspace / Room for rent. Good for 1-2 person.

- Free WIFI access (all rooms) 
- 24/7 CCTV 
- FLOOD-FREE area 
- NO CURFEW

- 1 min walk to JP Rizal Ave 
- One Ride Jeep to Paco/Taft/Herran/Circuit/PRC/Pasong Tamo/Rockwell/Guadalupe MRT/Fort BGC/Glorietta/Greenbelt 
- 5 min walk to Mapua Buendia, Buendia, Ayala, Circuit, St. Andrew’s Church, SM Jazz Hypermarket, Starbucks. Coffee bean, Wendy's, Burger King, Rubs 
- Near place: Mcdonald, LBC, Jollibee, Chowking, PS Bank, BDO, J.P. Rizal Market, Makati City Hall, Church, Shakeys, Pizza Hut(Soon)

Terms: 1 mo. advance, 2 mos. security deposit

Requirements: Photocopy of Company/Student ID, NBI, Government ID",N/A,N/A,N/A,Metro Manila (NCR),Makati City,N/A,16,,,,https://www.carousell.ph/p/ladies-bedspace-or-ladies-room-for-rent-good-for-1-2-person-238605369/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male Bedspace near EDSA Shaw,3200,"- walking distance to EDSA, Greenfield, Starmall, Megamall, Ortigas, WCC, California Gardens
- near EDSA Shaw 
-near public transport and food options, laundry shops, Mercury and Watsons
-building is guarded and covered by CCTV and fire alarm system
-roommates are all working professionals
-air-conditioned room with lockers 
-term: 1 month advance plus deposit 2k refundable
-no cooking, no laundry inside
-cabinet with locks provided 

please contact 0917- 324 0527",42 Sierra Madre Street,1,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,27,,,,https://www.carousell.ph/p/male-bedspace-near-edsa-shaw-260945719/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male bedspacer,2000,"wanted male bedspacer:
1. safe and secured
2. no curfew
3. includes lights and water
4. address: 181 mindadanao ave. near BJMP
5. terms of payment : 1m dep/ 1m adv.","181 Mindanao avenue, Quezon City",1,1,Metro Manila (NCR),Quezon City,Bahay Toro,20,,,,https://www.carousell.ph/p/male-bedspacer-1055657123/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=6g2Jl8Z3WgIGjwJz&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacer in Mandaluyong,2500,"Lady Bedspacer in Mandaluyong 

Location: 60 P. Cruz, Brgy. Barangka Ibaba, Mandaluyong City 

Floor Area: 10 SQM.

2 PAX per room
2 Common CR
1 Common Kitchen/ Sink
With doubledeck and foam
1  Month deposit & 1 Month advanced 
* Electric fan and wifi not included *
1 ride by tricycle from Boni-EDSA
Near Rockwell Makati

Price: P2,500 per head (2 pax in 1 room); inclusive of light and water

DM me if interested!!!",60 P. Cruz,1,2,Metro Manila (NCR),Mandaluyong City,Barangka Ibaba,10,,,,https://www.carousell.ph/p/lady-bedspacer-in-mandaluyong-1047995964/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
All in Spacious Furnished Bedspace in GMA Kamuning,4500,"Minimum of two boarders for room to be available
Rate inclusive of all utilities ie. electricity with air-con (1 HP), water, 25 mbps optic  fiber internet, common landline, cooking, laundry

Full built in cabinetry for wardrobe, luggage, library study desk and files
With study/work desks,chair, night table, electric fan per bedspacer
Layout allow home office/remote worker set up
Locks for drawers and cabinets
Appliance in room are aircon, table  electric fan per bed, study lamps
Access and use of fully accessorized dining area, two kitchens, living areas, two service/laundry areas, lanai/porch, garden
Room assigned CR with shower heater. Two CRs for boarders.
Additional P 500 for  boarder if FT work from home 
Additional P 1000 for permanent parking slot if with vehicle (sedan/SUV)
This is a boarding house in a quiet residential neighborhood with open green spaces
1 min. walk to Kamuning Road, 5 min walk to GMA-Kamuning MRT

Requirements:
Full Time Working 
Minimum 6 months lease
Updated government and employer ID
1 month property deposit
1 month rent advance

Contact:  Gela: 091171369447
                         85299439","#10, 11th Jamboree St.",1,2,Metro Manila (NCR),Quezon City,Sacred Heart,150,,,,https://www.carousell.ph/p/all-in-spacious-furnished-bedspace-in-gma-kamuning-1047145937/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspacer for rent in Makati City,2500,"Bedspace for rent exclusive for female P2500 per head
---one month advance and 1 month deposit and required to submit 2 valid IDs (1 govt. ID & 1 company ID)
Address: 1124 Tanay St, Brgy. Valenzuela , Makati City.
(Near Makati City Hall along JP Rizal or Jollibee reposo)

---we accept male/female professionals
---rate is inclusive of light and water
---shared CR, laundry area, kitchen and dining area
---no curfew
---no pets allowed

The place is accessible to Ayala Ave., Makati Ave., Rockwell, RCBC Plaza, and also convenient for food establishments, banks, grocery stores, and drugstores.

Viewing is 8:00am-8:00pm

contact number: 09553451828, 09351724826",1124 Tanay St. ,N/A,N/A,Metro Manila (NCR),Makati City,"Brgy. Valenzuela,",N/A,,,,https://www.carousell.ph/p/female-bedspacer-for-rent-in-makati-city-273494187/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Manhattan Heights Cubao QC condo sharing, bedspace, condoshare",5000,"Manhattan Heights Cubao infront of Alimall
looking for 3 bedspace
p5000.00/bed
inclusive condo dues
water & electricity divide by tenants
1month  deposit ,1month advance
SMS at 09228866120",General Romulo Ave,1,1,Metro Manila (NCR),Quezon City,Aurora,26,,0,,https://www.carousell.ph/p/manhattan-heights-cubao-qc-condo-sharing-bedspace-condoshare-1050597679/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
MALE BEDSPACE Dormitory near Cash &Carry and LRT Gil Puyat station,3400,"Our Makati Dormitory still available located at 4310c emilia st near jollibee bautista and cash & carry it's gated unit and flood free

inclusion
- Water &Electricity
- Wifi & Cable 
- Water Dispenser, Electric Stove & fridge 
- Sofa & Dining set 
- Bed & foam 
- Ceiling Fan & Stand fan
- Locker
- Bathrooms 
- Once a week cleaning 

requirements 
- valid ids
- rapid test or swab test if no rapid health Certificate 

payment method 
- 6 months contract with 1 month Advance & deposit
- 3 months contract with Advance only

for the you can text me 09069125200","4310c Emilia St, Brgy Palanan Makati City",5,3,Metro Manila (NCR),Makati City,Palanan,90,,,,https://www.carousell.ph/p/male-bedspace-dormitory-near-cash-carry-and-lrt-gil-puyat-station-1046993258/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=EKdwoKtvE2XU83rT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
