Unit Title/Description,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,
Studio unit condominium ortigas (bedspace),7000,"My condo unit in ortigas is for bedspace. 2 lang po kau maximum na un. May isa na po dun. 

Other details are as follows:

1. The pearl place condo
2. 24sqm studio type
3. With tv, mini ref, rangehood, e-cooker, fan, bed and with existing internet connection from previous tenant
4. Walking distance to megamall, shangrila, UANP, phil stock exchange and other offices in Ortigas Central Business District
5. Rent includes assoc dues but exclude utility bills
6. 6months up contract preferred.
7. Move in requirements - bgy health certificate or certificate showing that you ate covid free or not a PUI, ID, lease contract, move in form.

Very nice view of ortigas skyline Read Less",,0,1,Metro Manila (NCR),Pasig City,Rosario,24,,0,,https://www.carousell.ph/p/studio-unit-condominium-ortigas-bedspace-1060366245/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_c4fa0434_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_65dea714_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_e2e5ae99_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_778a164f_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_af2a5d88_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680244_729e047c_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680245_ee98378c_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/3/studio_unit_condominium_ortiga_1609680245_a7527341_progressive.jpg",
Lady bedspacer,4500,"Location: Victoria Sports Tower 2, along EDSA Kamuning Station, beside GMA 7

Floor: 29th, corner unit
Floor area: 27.71  Sqm
looking for 2 more female tenants! 4.5k each. fully furnished (ref, tv, aircon, electric fan, washing machine, water heater, PLDT prepaid wifi), s/ own lock operable drawers and cabinets

For those interested, kindly send a message to this number: 09955392096",,1,1,Metro Manila (NCR),Quezon City,South Triangle,27.71,,0,Yes,https://www.carousell.ph/p/lady-bedspacer-1067052442/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=3zwc7lNl-Mir9cHe&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272084_b20209bc_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272084_6ea07048_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272085_51e78a72_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272085_0273770a_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272085_e4d876bc_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272085_7139e597_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272085_ddb29f24_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272086_ad5c32ec_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/2/lady_bedspacer_1612272086_039c6640_progressive.jpg",
"Bedspace in Cubao, Walking Distance to Araneta City!",3900,"Bedspace in Cubao, Near Araneta City, MRT-3, LRT-2, etc.
?3,900 per month per person.

A 29sqm studio unit on the second floor of a condominium building, on P. A. Bernardo Street (formerly known as ARAYAT STREET).

Two months in advance, the equivalent of two months' rent for security deposit, and ?500 refundable key deposit.
So the MINIMUM cash required before moving-in is ?15,600.

Electricity and water INCLUDED in the rental price.
The apartment is furnished with all the usual items (see photographs).

Strictly clean and reliable tenants sought.
NBI clearance, photo identification and evidence of employment (or bank account statement) required BEFORE applying.

Message me for further enquiries.

?? May God Bless You Always! ??","Arayat, Cubao.",1,1,Metro Manila (NCR),Quezon City,,29,,,,https://www.carousell.ph/p/bedspace-in-cubao-walking-distance-to-araneta-city-240140174/?t-id=IKnnXZsJgt_1612499727210&t-referrer_browse_type=search_results&t-referrer_request_id=PZ3y0dO3zSRUHeb8&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614550_218101fa_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_1f1fc571_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_9d02eeed_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_31494ee8_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_c2bcc0a2_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_d61a5083_progressive.jpg, https://media.karousell.com/media/photos/products/2020/12/10/bedspace_in_cubao_walking_dist_1607614551_b94fb16d_progressive.jpg",description
ROOMS & BEDSPACE FOR RENT AT STA. ROSA LAGUNA,1400,"Rooms & bedspace for rent at Santa Rosa Laguna. Berkeley Heights, Pulong Sta. Cruz, Santa Rosa Laguna. Very near to Paseo, Nuvali, Vista Mall, Technopark, Convergys, Nissan, Toyota & Coca Cola. We have 2 separate boarding houses for female and male. Pls contact 09154602562 for assistance. 1 month advance, 1 month deposit. Pls bring 2 valid IDs for security purposes. Rates: Rooms = 2,500 to 3K per month; Bedspace = 1,400 with free water bill. All rooms has beds, bedframes, fans and cabinet. Store is also available inside the property for your extra convenience and it is located inside a secure and safe subdivision.","Berkeley Heights, Pulong Sta. Cruz, Santa Rosa Laguna",5,5,Calabarzon,Santa Rosa,,70,,,,https://www.carousell.ph/p/rooms-bedspace-for-rent-at-sta-rosa-laguna-240707420/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=x0saUi1tDqR-pfMg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/19/new_rooms__bedspace_for_rent_at_sta_rosa_laguna_1563529855_78da615f_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/19/new_rooms__bedspace_for_rent_at_sta_rosa_laguna_1563529855_7c1a7f13_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/19/new_rooms__bedspace_for_rent_at_sta_rosa_laguna_1563529855_c310412e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/19/new_rooms__bedspace_for_rent_at_sta_rosa_laguna_1563529855_88a4b6bd_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/19/new_rooms__bedspace_for_rent_at_sta_rosa_laguna_1563529855_d46e56fe_progressive.jpg",
Lady bedspacer,2500,"2500 monthly 
one month advance
water and electricity bill included kasama na sa monthly
with free wifi 
message lang po if may gusto pa po kayo itanong
address:414 Tengco St. Pasay City near Libertad lrt station",,,,Metro Manila (NCR),Pasay City,Barangay 106,0,,,,https://www.carousell.ph/p/lady-bedspacer-1062721815/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=x0saUi1tDqR-pfMg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633329_07a1002d_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633329_c9949a45_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633329_5e28e92e_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633329_58756044_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633330_5ffcf598_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633330_7a9bb620_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633330_7810ca0a_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633330_2fbcf220_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/14/lady_bedspacer_1610633330_5e857ef4_progressive.jpg",
Bedspace or Room for rent makati near buendia ayala pasay,2500,"Room rental or bedspace
Batangas st. Makati, Male or female. 
close proximity to Buendia, pasay road. dian bautista
Close to cash and carry mall and sm hypermarket 
osmena highway or slex, magallanes  or pasay. 
buendia, ayala, paseo. pasay road. 

inclusions, wifi unlimited, basic water, basic electricity. 
can do laundry and cook. bring your own kalan. with kitchen
google map batangas st. makati to see for yourself.
2,500 bedspace,   for the whole room. lets talk 
09079929969",Batangas Street,5,,Metro Manila (NCR),Makati City,,25,,,,https://www.carousell.ph/p/bedspace-or-room-for-rent-makati-near-buendia-ayala-pasay-1033809586/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=x0saUi1tDqR-pfMg&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500092_7540ffe2_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500091_e020ba02_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500092_ba105108_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500091_28c4595f_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500092_eabaff23_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599500092_326d8b63_progressive",
"Room for Rent & Bedspacer GIRLS ONLY @ V.luna near East Ave, Quezon City",2500,"Room for Rent / Lady Bedspacer  (preferably working professional / student)

*Php 2,500 (bedspacer good for 5)
*Php 3,000 (bedspacer good for 2)
*Php 5,000 (small solo room)
*Php 7,000  - solo room with no aircon
*Php 8,500 - solo room with aircon

vFee already INCLUDES electricity and water

Room: 

v 2nd floor / 3rd floor
v each room has its own bathroom/toilet

Amenities: 

v Free use of refrigerator, oven toaster and microwave
v Flat-screen television available in the living room (common area)
v Landline (local calls only) available in the living room (common area)
v Clothesline (sampayan) available at the laundry area on the roof deck


Location: (very safe)

* Pinyahan, Quezon City (near V. Luna, East Ave., Maginhawa, Sikatuna, Kamuning, Anonas, Kamias, Teacher's Village, UP Village)

* In-front of V. Luna Hospital / Near AFP Medical Center

* Walking / Near SM Savemore, BPI and BDO banks, Jollibee, Hap Chan, Beauty Salons and Barber Shops, Pre-schools

* 10 mins. away from East Avenue Medical Center, NKTI Lung Center, Philippine Heart Center, Quezon City Hall, LTO, SSS

* Conveniently near schools like Ateneo, Miriam, UP

* Conveniently near other grocery stores like Puregold and Hi-top

*  Conveniently near other restaurants, as well as the food strip along Maginhawa Street

* Near East Avenue (Mercury Drugstore, Metrobank, Pizza Hut, etc.)

* Close to jeepneys, tricycles, one ride to MRT (GMA Station), one ride to LRT (Anonas Station), one ride to UP Technohub


Open to female students, PT, med tech, OJT, nurses and other professionals.

For more details, please contact the caretaker Ms.Fely at 09151472223  / 09165895088 / 09069603354

For room  viewing, set appointment, message Nessie at  09954764253","Maginoo Street , Brgy. Pinayahan, corner V. Luna, Quezon City",,,Metro Manila (NCR),Quezon City,,25,,,,https://www.carousell.ph/p/room-for-rent-bedspacer-girls-only-v-luna-near-east-ave-quezon-city-253192437/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=ZVIICl-9ts3q1cJ8&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/6/7/room_for_rent_4000__bedspacer__1591508763_0efb22ac_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/7/room_for_rent_4000__bedspacer__1591508763_c33b2d64_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/6/room_for_rent_4000__bedspacer__1591451016_e659645a_progressive.jpg, https://media.karousell.com/media/photos/products/2020/01/30/room_for_rent__bedspacer_in_quezon_city_ladies_only_1580366273_95dbfa26_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/7/room_for_rent_4000__bedspacer__1591508763_3010be61_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/room_for_rent__bedspacer_in_quezon_city_ladies_only_1580856154_91ce52e3_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/5/lady_bedspacer__room_sharing_a_1596615455_8e70cb63_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/15/roombedspacer_ladies_only__maginoo_st_brgy_pinyahan_quezon_city_1581732040_138a968c_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/15/roombedspacer_ladies_only__maginoo_st_brgy_pinyahan_quezon_city_1581732040_448bb513_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/6/room_for_rent_4000__bedspacer__1591451016_58031627_progressive.jpg",description
Aircon Bedspace for Rent Pedro Gil Taft Malate Manila,4500,"Common bedspace (doubledeck):
500/day
3,000/week
4,500/mo

Couple bedspace (or solo room):
600/day
3,600/week
8,500/mo

Max of 6-8 heads PER UNIT only!

Includes:
12hrs Aircon
3 cr
4k worth of electric & water bill per unit (excess divided per head)
? laba underwear
? luto (contribute LPG)
? WIFI
Sariling electric fan

Requirements:
2 Valid ID
Rapid Test
1 Month Advance
1,500 Refundable Deposit (utilities & key)
250.00 (notary fee)

LOCATION: VICTORIA DE MANILA, 1655 Taft Ave., cor PedroGil St., Malate Manila

NOTE: Rental Prices may subject to change w/o prior notice

See video tour here:",,,,Metro Manila (NCR),Manila,Malate - Barangay 696,20,,,,https://www.carousell.ph/p/aircon-bedspace-for-rent-pedro-gil-taft-malate-manila-1061957640/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=AnE7vOxXQh2zA1Lf&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/17/aircon_bedspace_for_rent_pedro_1610856384_1e0c0ebc_progressive,description
Female Bedspace Condo sharing Mandaluyong,3500,"Lower bed available (add 200.00)
Location: urban deca tower edsa mandaluyong along edsa bet Boni & Shaw Mrt few steps to Greenfield,MRT Station,Starmall,SM Light,Shangrila,Ortigas & SM Megamall
Good for 4persons
Inclusions: furnished with new aircon,bed w/foam & bedsheet,cabinet & storage box,ref,microwave,kettle,rice cooker,2seater table,utensils,assoc dues
Exclusions: water & electricity bill(sharing)
Requirements: 1mon adv,1mon deposit,2 valid ids",,0,1,Metro Manila (NCR),Mandaluyong City,,15,,,,https://www.carousell.ph/p/female-bedspace-condo-sharing-mandaluyong-261910477/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=ZVIICl-9ts3q1cJ8&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_e2e21549_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_4874b97c_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_cad42850_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_9aeea162_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522991_273f97cc_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522992_8c9bf926_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522992_4d7cfb8f_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522992_30a9fda5_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/12/female_bedspace_condo_sharing_mandaluyong_1573522992_522f69d4_progressive.jpg",
Bedspace Condo Sharing Condo Share Room Rent Ortigas Mandaluyong Shaw,5500,"For viewing or inquiry, kindly text us at 0927-279-5575

Over the years, we're the top and premium choice for male and female professionals as their second home in providing outstanding and exceptional condo-share/co-living services. ?

HIGHLIGHTS:
? Our bedspace or condo sharing in Ortigas Mandaluyong is located at BSA Twin Towers, it's just a few seconds walk to SM Megamall, St. Francis Square Mall and The Podium Mall
? Walking distance to Robinson's Galleria, Shangri-La Mall, Ayala 30th Mall, Capitol Commons, Kapitolyo, Eton Cyberpod, Greenfield District, Meralco Avenue, Tektite/PSE, Rockwell Business Center (Sheridan & Ortigas)
? Just one bus or MRT ride going to Makati, Ayala, The Fort, BGC or Mckinley from Ortigas area (vice-versa)
? Dedicated caretakers for regular housekeeping
? We're the cleanest, most organized and quality condo-share unit you'll ever stay ?
? 24/7 security, flood-free zone, 24/7 walking distance restaurants and fast food chains
? 48 hours lead time to fix any repair or maintenance
? On-time or advance payment for water and electric bills. 100% assurance no utility interruption.
? Privacy bed curtains for upper and lower beds/bunks - original concept from us ? 

TEXT US: 09272795575

DETAILS:
• Monthly rate: P5,000 or P5,500 per occupant for our bedspace or condo sharing in Ortigas Mandaluyong
• Ideal for MALE or FEMALE occupants (separate condo units)
• Fully-furnished condo units
• Very well-maintained, air-conditioned condo unit with appliances
• Individual cabinets are provided 
•  Cooking is allowed
• Free use of amenities: Wi-Fi, two swimming pools (indoor and outdoor) and top-of-the-line gym

REACH US: 09272795575

MORE INFORMATION:
¦ Accessible to all sorts of transportation hubs
¦ A few minutes walk to MRT, Bus stations, FX Terminals, Taxi/Grab easy pick-up point
¦ Accessible to most office buildings, 24/7 restaurants and food hubs within the area.
¦ Very neat, organized, cozy unit for bedspace or condo sharing in Ortigas Mandaluyong

Very limited slots for our bedspace or condo sharing in Ortigas Mandaluyong!

? FRIENDLY REMINDERS ?
? There's no available solo/separate room/unit for ""one or two persons only""
? There's no available solo/separate room/unit for ""couple/family""
? There's no available unit/room for ""mixed"" male and female occupants
? ""Pets are not allowed"" inside the unit or building

CONTACT US: 09272795575","BSA Twin Towers, Ortigas Center, Mandaluyong",2,2,Metro Manila (NCR),Mandaluyong City,,80,,,,https://www.carousell.ph/p/bedspace-condo-sharing-condo-share-room-rent-ortigas-mandaluyong-shaw-238462867/?t-id=5qyLy_8FM0_1612500138907&t-referrer_browse_type=search_results&t-referrer_request_id=ZVIICl-9ts3q1cJ8&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/11/212801_238462867_b75604f8.jpg, https://media.karousell.com/media/photos/products/2019/07/26/bedspace_condo_sharing_condo_share_room_rent_ortigas_mandaluyong_shaw_1564119681_59718e971_progressive, https://media.karousell.com/media/photos/products/2019/07/26/bedspace_condo_sharing_condo_share_room_rent_ortigas_mandaluyong_shaw_1564119681_6987abb92_progressive, https://media.karousell.com/media/photos/products/2019/07/17/bedspace_room_rent_condo_share_ortigas_pasig_shaw_boni_mandaluyong_1563310190_66b51bc43_progressive",description
Lady Bedspace for Rent in Quezon City,4800,"Welcome Ladies! A Home Away from Home.

Promo rate/month P4,800/head

Amenities
• Fully furnished brand new rooms
• Free wifi
• AC rooms
• Shower heater
• Kitchen area: stove, rice cooker, oven toaster, m. oven, H2O heater, ref, filtered H2O
• Washing machine
• Coffee/study/rec area
• Security – biometrics door, 24/7 CCTV

Proximity
• Near UP, Ateneo, Miriam
• Near Trinoma, SM North, UP Town Center
• Near EDSA, QC Hall, QC Circle, Commonwealth, Philcoa, Katipunan
• Near Phil Heart Center, East Ave Medical Center
• Near restaurants, grocery stores, pharmacies, spa, salon

Address: 95A Matahimik St., Sikatuna Vill., QC (near Nest Learning Center)",,,,Metro Manila (NCR),Quezon City,,,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-quezon-city-239043340/?t-id=tTCn21CWmZ_1612500737156&t-referrer_browse_type=search_results&t-referrer_request_id=FewQ1r1akgBs-TWZ&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_c434696b.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_9f286423.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_46d5e6a9.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_58c23095.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_d38e86c9.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_3ebaeeea.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_d4e1df19.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_fe04fbdd.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_5639d5d6.jpg, https://media.karousell.com/media/photos/products/2019/07/12/185202_239043340_b60e6e4e.jpg",description
Room Bedspace For Rent near UST NU Mendiola CPAR Review Centers,3500,"Room for rent or bedspace available in Sampaloc, Manila Area 

Php. 3,500 per person (neg.). If you want a room, kindly contact the number for details.

Near U-belt like UST, NU and Review Centers like CPAR, RESA, etc.

Kindly contact the number provided for any inquiries or room/bedspace availability

2 rooms with own CR and AC *not available as of now.

4 rooms with AC good for 4 persons -- can be 6 if maximized

1 room w/o AC good for 2 persons 

With 3 common toilet and bath

Please contact the number before you visit so that we can accommodate you properly.

Thank you, God bless.",,5,5,Metro Manila (NCR),Manila,,300,,,,https://www.carousell.ph/p/room-bedspace-for-rent-near-ust-nu-mendiola-cpar-review-centers-238776415/?t-id=tTCn21CWmZ_1612500737156&t-referrer_browse_type=search_results&t-referrer_request_id=FewQ1r1akgBs-TWZ&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_4046cf70.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_e4748280.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_32cb24f6.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_038174be.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_8554f958.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_b9850cff.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_9a08dc91.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_751f5080.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_79c17c14.jpg, https://media.karousell.com/media/photos/products/2019/07/12/171703_238776415_f1bbf993.jpg",
3 Female Bedspacers in BGC Forbeswood Heights,7500," 3 slots available for a Female Condo sharer/Bedspacer 

Note: 
1 - Lower Deck - PHP 7,800 available 
2 - Upper Deck - PHP 7,500 available 

Inclusions: Closet, WIFI, fridge, stove, plates and glasses, toaster, and water kettle 
Monthly dues

Condo Amenities: Pool, gym, tennis court

2 mos adv nd 1 mo. Deposit. Initial contract is 6 mos.
Reminders: Sched for viewing- pls text.","Forbeswood Heights, Taguig",1,1,Metro Manila (NCR),Taguig,,36.6,,,,https://www.carousell.ph/p/3-female-bedspacers-in-bgc-forbeswood-heights-238790480/?t-id=tTCn21CWmZ_1612500737156&t-referrer_browse_type=search_results&t-referrer_request_id=FewQ1r1akgBs-TWZ&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/172614_238790480_0c1a32c6.jpg, https://media.karousell.com/media/photos/products/2019/11/17/2_female_bedspacers_in_bgc_forbeswood_heights_1573999913_f3750e77_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/17/2_female_bedspacers_in_bgc_forbeswood_heights_1573999913_cdeeeff5_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/17/2_female_bedspacers_in_bgc_forbeswood_heights_1573999913_e700aaf4_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/17/2_female_bedspacers_in_bgc_forbeswood_heights_1573999913_91d3d990_progressive.jpg",
"Bedspacer Near BGC, Mckinley, Makati",3500,"3,500/month BEDSPACER!

FREE ELECTRICITY, WATER.

PLEASE READ.

BEDSPACE FOR RENT

Location: Aranai Village, Brgy. Rizal, Makati City
NEAR BGC, McKinley, Makati.
6 BEDS AVAILABLE
Bedspace rent includes the following:
-Inclusive Electricity, running water
-Free use of appliances (Stove, Microwave, Refrigerator, Electric Fan, 4k Television with Netflix, Spotify, Youtube)
-Bathroom (clean, with bidet and shower)
-Cabinet for clothes
-Shoe racks
-24/7 CCTV Security
-No Aircon
-No laundry (you have to go to laundry services nearby).
-No extra pillows, bed sheets, pillow sheets, blankets.
-No car park space, but you can have your motorcycle park at the near basketball court if you want.
Minimum contract 6 months
1-month Advance and 1-month Deposit.
Requirements:
-1 Photocopy of Valid ID.
Contact me or PM!
0956-065-5950",,4,1,Metro Manila (NCR),Makati City,Rizal,30,,,,https://www.carousell.ph/p/bedspacer-near-bgc-mckinley-makati-1062231570/?t-id=tTCn21CWmZ_1612500737156&t-referrer_browse_type=search_results&t-referrer_request_id=9xadzOj8QvPmFH3O&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439788_a64efd69_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439788_3ae17403_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439788_2127e6d9_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_b7666914_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_9bcd995e_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_5bb1d78b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_1453a60c_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_6d8993bb_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/12/bedspacer_near_bgc_mckinley_ma_1610439789_bc9d5ec4_progressive.jpg",
