Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,Special Character?
Lady Bedspacers,3500,"Ideal for working class. Transfer near your work.

5mins walk to Perpetual Succor Hospital
12mins walk from UST Hospital
8min walk to Ospital ng Sampaloc

2min walk from National University.
M.F. Jhocson st. Near Markie and LA pansit cabagan
Near Bus Terminals Victory Liner & Dalin Liner
Near Market

Lady bedspacers.
Built in cabinets
3500/pax monthly
included water and electricity.
Has common area and shared bathroom. 
Has kitchen and laundry area.
Cooking and washing is allowed.",M. F. JHOCSON ST,2,1,Metro Manila (NCR),Manila,,15,,,,https://www.carousell.ph/p/lady-bedspacers-275828648/?t-id=xfQr7Vigef_1612248224740&t-referrer_browse_type=search_results&t-referrer_request_id=Id3iCeNDEjqEZWRs&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/02/03/lady_bedspacers_1580696538_ea6228b1_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/03/lady_bedspacers_1580696538_bb1013e2_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/lady_bedspacers_1580858822_d0650416_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/03/lady_bedspacers_1580696538_55d46644_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/lady_bedspacers_1580858768_be2a13a4_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/lady_bedspacers_1580858768_45053cf9_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/lady_bedspacers_1580858768_90ef8aa6_progressive.jpg, https://media.karousell.com/media/photos/products/2020/02/05/lady_bedspacers_1580858768_ae25fac5_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/9/lady_bedspacers_1591682363_f8484417_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/9/lady_bedspacers_1591682363_491cdeb6_progressive.jpg",
Boarding House for Male and Female Bedspacer Luta Sur Malvar Batangas,1300,"Brand New Boarding House for male and female bedspacers
(for employees working in the ffg: locations:) Calamba Laguna, Sto. Tomas, Batangas, Tanauan, Batangas, Malvar, Batangas, and Lipa, Batangas)

-Brand New Boarding House Unit
(1 Room-4 Persons,1 Room-2 Persons & 1 Folding Bed for Male Boarder)
- Monthly Rent-Php 1,200/month per Boarder 
-With Electricity & strong water supply (minimum payment to be paid by owner)
-with cabinets in every room and with electric fan, electric stove, water heater, and electric kettle
-with laundry area and clean CR
-Located along J.P. Laurel Highway
-with safe and secure environment

For inquiries,contact
Ron (contact# placed at upper right corner of screen)",,2,1,Calabarzon,Malvar,,60,,,,https://www.carousell.ph/p/boarding-house-for-male-and-female-bedspacer-luta-sur-malvar-batangas-238557399/?t-id=xfQr7Vigef_1612248224740&t-referrer_browse_type=search_results&t-referrer_request_id=Id3iCeNDEjqEZWRs&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_60517651.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_fa9f11eb.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_c80a18a3.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_af62f4b1.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_a7ee9ea2.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_7db2b1fd.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_c4adf7c2.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_9dc1efca.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_926d7dd2.jpg, https://media.karousell.com/media/photos/products/2019/07/12/000242_238557399_f111431e.jpg",
THE DORM PASAY - FULLY FURNISHED BEDSPACE FOR WORKING PROFESSIONALS,2400,"THE DORM PASAY

??Fully furnished dormitory strictly for students and working professionals (male and female) 

??Accessible to AIMS / SM MOA / Makati / Manila / COD / SOLAIRE / OKADA

RATES:
??P2,400/HEAD/MONTH - FAN ROOM
??P3,100/HEAD/MONTH - AIRCON ROOM

DETAILS:
??Well ventilated rooms w/orbit fan & exhaust fan
??Double deck bed w/good quality mattress
??Cabinet 
??CCTV 
??4-6 pax in one room

RATE INCLUDES:
??Water
??Electricty
??Hot & cold drinking water
??WIFI
??Cable TV

TERMS & CONDITIONS:
??1 month advance & 1 month deposit
??Minimum of 3 months stay
??No cooking allowed
??No smoking within the dorm premises

LANDMARKS:
??Near Holiday Plaza (libertad corner F.B. harisson)
??5 minutes walk to Libertad LRT station

PLEASE PROVIDE THE FOLLOWING DETAILS WHEN INQUIRING:
??Gender
??Location of work
??Work profession 
??Preferred rooms (fan or ac room)
??Work schedule (for ac room)

For air-conditioned rooms, aircon will be operating 12 hours per day.  The schedule of ac operating hours for rooms will be: 
??7pm-7am
??7am-7pm

VIEWING SCHEDULE:
??Mon - Sat 7am-7pm
??Strictly by appointment only
??Preferably to be informed a day in advance

CONTACT:
??VIN
??Viber: 09276667488
??Inquiries preferably through fb page (messenger) — thedormatpasay;",,1,1,Metro Manila (NCR),Pasay City,,30,,,,https://www.carousell.ph/p/the-dorm-pasay-fully-furnished-bedspace-for-working-professionals-258053972/?t-id=xfQr7Vigef_1612248224740&t-referrer_browse_type=search_results&t-referrer_request_id=Id3iCeNDEjqEZWRs&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698696_37542674_progressive.jpg, https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698696_c04b655c_progressive.jpg, https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698696_e560d2a8_progressive.jpg, https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698697_9938a4de_progressive.jpg, https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698697_74405a35_progressive.jpg",description
BEDSPACE near UST and University Belt Male or Female,4000,"3 Storey TownHouse!! 

""BEDSPACE FOR RENT""

We are located near UST (walking distance) Perpetual Help College, St. Jude, CPAR, PRC and UNIVERSITY BELT 

Trabajo Public Market, Savemore, Mercury drug, España blvd.

for ONLY 4000 Male or Female with AIRCONDITIONED ROOM (split type inverter)

Inclusions:
* Electricity
* Water
* double deck bed with uratex mattress (bring your own bedsheets, blankets and pillows)
* Individual cabinet
* 1 electricfan per person
* with toilet and bath inside the room
* free use of Refrigerator and Television

Terms of Payment:
*1 month advance & 1 month deposit

for inquiries please call or text 0.9.2.5.3.4.4.7.7.2.2",,3,4,Metro Manila (NCR),Manila,,,,,,https://www.carousell.ph/p/bedspace-near-ust-and-university-belt-male-or-female-239163507/?t-id=xfQr7Vigef_1612248224740&t-referrer_browse_type=search_results&t-referrer_request_id=Id3iCeNDEjqEZWRs&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_73771f07.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_3d5f2d75.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_4d33e56c.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_4d38172d.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_8f1d39b9.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_4249e0db.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_ddb97d16.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_636eb566.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_4c7873fd.jpg, https://media.karousell.com/media/photos/products/2019/07/12/194030_239163507_a17930f4.jpg",description
Bedspace for Rent - Ladies,2500,"Female Bedspace for Rent near San Andres Malate, Manila

-Exclusive for Ladies
-Php 2,500/month
-Electricity and water already included in the rent
-No curfew
-Convenient location for people applying to work abroad, employees, OJT students


Message us for more details.",,2,2,Metro Manila (NCR),Manila,,80,,,,https://www.carousell.ph/p/bedspace-for-rent-ladies-239185562/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=nXaEKFh5m4McLytG&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/11/23/bedspace_for_rent__ladies_1574473718_d52b1828_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/23/bedspace_for_rent__ladies_1574473718_48af0582_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/23/bedspace_for_rent__ladies_1574473718_3aec2437_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/23/bedspace_for_rent__ladies_1574473718_b68230bc_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/23/bedspace_for_rent__ladies_1574473718_33535da3_progressive.jpg",
Lady bedspace for rent airlane near terminal 1 airport,3700,"Lady bedspace for rent 
Very spacious house with kitchen,laundry area and living room. 
Waking distance terminal 1 airport
Airlane village Brgy Vitalez
Village with security guard

3.7k inclusive of electricity and water

09165080458",,,,Metro Manila (NCR),Paranaque City,Vitalez,,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-airlane-near-terminal-1-airport-1049258714/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454670_40c26d57_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454670_f76c2c33_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454670_0d3104c9_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454670_f2b8a69d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454671_528292ed_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454671_9c3ec171_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/15/lady_bedspace_for_rent_airlane_1605454671_de6c0192_progressive.jpg",
Wanted Male and Female Bedspacer,3500,"Wanted Male and Female Bedspacer
3500 all in no hidden charges
You can cook and do the laundry
Di nababaha.",643A Maharlika St Plainview Mandaluyong City,3,3,Metro Manila (NCR),Mandaluyong City,,60,,,,https://www.carousell.ph/p/wanted-male-and-female-bedspacer-241039882/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/21/wanted_male_and_female_bedspacer_1563677093_df94b95b_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/21/wanted_male_and_female_bedspacer_1563677093_66b366fd_progressive.jpg",
Bedspace For Male Mandaluyong,3000,"Rm Solo/Shared 
Initial Paymt: 4-Gives or P500 ONLY
Monthly Rent: 2-Gives
Looking For: Male Young Professionals (Decent)
Age: 20-45
Reqs.: (ID Pix, Co. ID, Any Gov't ID, NBI Clearance) 

Various Perks and Privileges: 
1. The whole townhouse unit is usable, with ac, fully furnished 
2. No Curfew, gate/Rm keys provided 
3. 24-hours water supply & transportation
4. Housekeeper's Provided
5. Free Pick-up and Delivery of Laundry Services 
6. Group WIFI access 
7. Free Parking space 
8. Accessible to all primary needs
9. Events & Activities 
10.Various Discounts 
For more details, u may text me at 0917-5113088. U may visit d place 2 appreciate & we will discuss all the perks and privileges. - MARC",,5,3,Metro Manila (NCR),Mandaluyong City,,4,,,,https://www.carousell.ph/p/bedspace-for-male-mandaluyong-238486060/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_b00edfa7.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_719e1e68.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_32f21557.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_d1d2e999.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_1f516216.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_e85abcd2.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_94745904.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_89f02bb9.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_fa0dfc30.jpg, https://media.karousell.com/media/photos/products/2019/07/11/230654_238486060_9c7c6ccf.jpg",
"For Lease: Dorm/Bedspace in Makati, Manila, and Taguig area",1250,"Available Inventory:
1. Solo Rooms - P1,250/room per day
2. Dorm Type Rooms - P400/bed per day

*Open for short-term lease (15 days and up)"," Makati NCR, Makati City",0,,Metro Manila (NCR),Makati City,,0,0,0,,https://www.carousell.ph/p/for-lease-dorm-bedspace-in-makati-manila-and-taguig-area-285936537/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232713_22e2e9bae_progressive, https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232713_484bf4c5e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232713_efff5684e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232713_42d5fbdbe_progressive, https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232713_53599418e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/for_lease_dormbedspace_in_makati_manila_and_taguig_area_1609232714_021bb822e_progressive",
"For Lease: Dorm/Bedspace in Taguig, Manila, and Makati",1250,"Available Inventory:
1. Solo Rooms - P1,250/room per day
2. Dorm Type Rooms - P400/bed per day

*Open for short-term lease (15 days and up)"," Taguig NCR, Taguig City",0,,Metro Manila (NCR),Taguig,,0,0,0,,https://www.carousell.ph/p/for-lease-dorm-bedspace-in-taguig-manila-and-makati-285938199/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232803_94e87197e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232803_51fae4f3e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232803_287a722ce_progressive, https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232803_c944ee25e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232804_a79f9cb9e_progressive, https://media.karousell.com/media/photos/products/2020/12/29/_for_lease_dormbedspace_in_taguig_manila_and_makati_1609232804_601f2acfe_progressive",
"Condosharing Bedspace BGC, Taguig City 5k ALL IN",5000,"SMDC Grace Residences near BGC and McKinley Hill, Taguig
FEMALE ONLY
FULLY FURNISHED
FREE SHUTTLE to SM Aura and vice versa
FREE INTERNET
FREE from CONDO DUES
FREE POOL and GYM access
Php 5,000.00 ALL IN
1 month advance, 1 month deposit
Minimum 6 months","Cayetano Boulevard, Brgy. Ususan, Taguig City",1,1,Metro Manila (NCR),Taguig,Ususan,22,,0,,https://www.carousell.ph/p/condosharing-bedspace-bgc-taguig-city-5k-all-in-1065330573/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/1/condosharing_bedspace_bgc_tagu_1612215004_6f75f4ff_progressive, https://media.karousell.com/media/photos/products/2021/1/26/grace_residence_condo_sharing__1611669917_9d3912bd_progressive, https://media.karousell.com/media/photos/products/2021/1/26/grace_residence_condo_sharing__1611669917_99ba3578_progressive, https://media.karousell.com/media/photos/products/2021/2/1/condosharing_bedspace_bgc_tagu_1612215004_c7d2f78b_progressive, https://media.karousell.com/media/photos/products/2021/2/1/condosharing_bedspace_bgc_tagu_1612215004_da885625_progressive, https://media.karousell.com/media/photos/products/2021/1/26/grace_residence_condo_sharing__1611669917_c5b40c31_progressive, https://media.karousell.com/media/photos/products/2021/2/1/condosharing_bedspace_bgc_tagu_1612215004_19a20bee_progressive, https://media.karousell.com/media/photos/products/2021/1/26/grace_residence_condo_sharing__1611669918_9cdec3b5_progressive, https://media.karousell.com/media/photos/products/2021/2/1/condosharing_bedspace_bgc_tagu_1612215005_d325e181_progressive, https://media.karousell.com/media/photos/products/2021/1/26/grace_residence_condo_sharing__1611669918_ebfd9f57_progressive",
Male Bedspace in Anonas st proj 2,1900,"Call or text first for viewing schedule : 
0917-8523466 - Star


Terms: 1 month advance 1 month deposit
4 person in a room

Inclusions:
- electricity and water
-Double deck bed
-Cabinet
-Common bathroom and kitchen

#35 anonas rd proj 2, qc
Walking distance to
-Anonas LRT
-Metro Supermarket
-TaskUs
-World Citi Colleges
-TIP QC
-Aurora Blvd

*1 jeepney ride from Cubao, Timog and Tomas Morato, Technohub,Quezon Ave and Fairview
-Flood free. Strong water. No Curfew. No pets allowed.",,5,2,Metro Manila (NCR),Quezon City,,40,,,,https://www.carousell.ph/p/male-bedspace-in-anonas-st-proj-2-238543198/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/11/235750_238543198_f7117a63.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235750_238543198_1c4ae5fb.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235750_238543198_784f6046.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235750_238543198_0d6c4e70.jpg",
Male Bedspace in Cubao,2500,"Call or text for viewing schedule: 0917-6510917/ JOVY

Walking distance to Isetann and Gateway Mall
Near Araneta Center, Lrt/Mrt Cubao. 1 jeepney ride to Eastwood 

1month advance 1month deposit
P2,500 monthly inclusive of
- electricity and water
- cabinet
- common t.v, stove with gasul and ref
-4, 6 and 8 person per room

Flood free. Strong water. No curfew. No pets allowed",Cambridge,3,1,Metro Manila (NCR),Quezon City,,25,,,,https://www.carousell.ph/p/male-bedspace-in-cubao-239837998/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/15/male_bedspace_in_cubao_1563181902_65de6db7_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/15/male_bedspace_in_cubao_1563181902_c4967a03_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/15/male_bedspace_in_cubao_1563181902_edf81d92_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/15/male_bedspace_in_cubao_1563181902_1c5f91c7_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/15/male_bedspace_in_cubao_1563181902_10de735a_progressive.jpg",
Lady Bedspace Condo sharing ortigas,3500,"Female only

including  internet, cable tv, ref, washing machine, water and electricity.

slots start at 3,500.00

Upper Bunk - 3,500.00 + 500 (utility) = 4,000.00

Lower bunk - 4,000.00 + 500 (utility) = 4,500.00

INCLUSIVE: Internet. Cable tv. Washing Machine. Refrigerator. Large sala. Dining area. Laundry Area. 2 crs.","ADB Ave., Ortigas Center, Pasig City.

Back of Robinson Galleria, Blue and white bldg.",5,3,Metro Manila (NCR),Pasig City,,94.25,,0,,https://www.carousell.ph/p/lady-bedspace-condo-sharing-ortigas-1043832309/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/23/lady_bedspace_condo_sharing_or_1611392824_ec9fad8b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/23/lady_bedspace_condo_sharing_or_1611392824_27828599_progressive.jpg",
Bedspace Condosharing Room Rent Daily Weekly Ortigas Mandaluyong Boni,700,"INQUIRE NOW 09272795575

Daily, Weekly or Monthly Stay in Ortigas Center, Mandaluyong City

Address: BSA TWIN TOWERS, ORTIGAS CENTER, MANDALUYONG CITY

LANDMARKS:

> Beside SM Megamall, back of The Podium Mall.

> Walking distance to Robinsons Galleria, Shangri-La, Ayala Malls 30th, Capitol Commons, Greenfield District, Star Mall EDSA

> Walking distance to MRT Ortigas and MRT Shaw stations 

INQUIRE NOW 09272795575

""SHORT TERM"" RATES AND TERMS:

Daily Rate = P700 *minimum of two nights stay*

One week stay = Only P3,500 *P1,400 discount* (Original price: P4,900)

One month stay = Only P10,000 *P5,000 discount* (Original price: P15,000)

Minimum of three to six months stay = P6,000 PER MONTH ONLY

** Reservation Fee: P500 (consumable, non-refundable)

** Security Deposit: P1,000 (refundable upon check out)

INQUIRE NOW 09272795575

OTHER DETAILS:

> FREE WI-FI, FREE DRINKING WATER, FREE HOUSEKEEPING

> Bedspace/Dorm/Condo sharing setup with double decks in our one bedroom and two bedroom fully furnished condo units. 

> Rate includes rent fee, electricity, water, association dues

> Cooking and ironing of clothes are allowed in the unit. 

> Appliances: refrigerator, flat iron, aircon, microwave oven, electric kettle, electric fans, induction cooker, rice cooker

> Free use of amenities: hotel fitness gym, two swimming pools (lagoon outdoor pool & wave indoor pool), garden area. Note: Amenities not open yet during ECQ.

REQUIREMENTS: Two valid IDs, Company ID and security deposit

INQUIRE NOW 09272795575","BSA TWIN TOWERS, ORTIGAS CENTER, MANDALUYONG CITY",1,1,Metro Manila (NCR),Mandaluyong City,,80,,,,https://www.carousell.ph/p/bedspace-condosharing-room-rent-daily-weekly-ortigas-mandaluyong-boni-1002470541/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/4/24/daily_weekly_monthly_rent_stay_1587734798_66d3d40e_progressive,
"Manhattan Heights Cubao QC condo sharing, bedspace, condoshare",4000,"Manhattan Heights Cubao infront of Alimall
looking for 3 bedspace
4000.00/bed
inclusive condo dues
water & electricity divide by tenants
1month  deposit ,1month advance
SMS at 09228866120",General Romulo Ave,1,1,Metro Manila (NCR),Quezon City,Aurora,26,,0,,https://www.carousell.ph/p/manhattan-heights-cubao-qc-condo-sharing-bedspace-condoshare-1050597679/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605968027_2d96c509_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605967824_576179ac_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605967825_217f7995_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605967825_5fa06550_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605968028_c4bbe0eb_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/21/manhattan_heights_cubao_qc_con_1605968028_70e382f6_progressive.jpg",
Male Bedspace Condo Sharing Room Rent Condo Share Ortigas Mandaluyong,5500,"We're located at Ortigas Center, Mandaluyong City. Just a few minutes walk going to Robinson's Galleria, Shangri-La Mall, The Podium, SM Megamall, Ayala 30th Mall, Capitol Commons, Greenfield. We're also a few minutes walk to office buildings within the business area.

Our condo unit is fully-furnished. Rate is P5,500 per month. Exclusive for male occupants. Very secured, safe, clean and organized. To schedule a viewing, text us at 09954730348.",,1,1,Metro Manila (NCR),Mandaluyong City,,50,,1,,https://www.carousell.ph/p/male-bedspace-condo-sharing-room-rent-condo-share-ortigas-mandaluyong-239105075/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=Be3XiV1S_Z9CQKgA&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/09/04/male_bedspace_condo_sharing_room_rent_condo_share_ortigas_mandaluyong_1567533726_2ef545cf0_progressive, https://media.karousell.com/media/photos/products/2019/09/04/male_bedspace_condo_sharing_room_rent_condo_share_ortigas_mandaluyong_1567533726_309b73ef1_progressive, https://media.karousell.com/media/photos/products/2019/09/04/male_bedspace_condo_sharing_room_rent_condo_share_ortigas_mandaluyong_1567533726_9496b54b2_progressive",
EASTWOOD LIBIS FEMALE CONDO SHARING BEDSPACE,3800,"Female condo sharing, just beside eastwood libis. The building is ASPIRE TOWER, behind S&R calle industria corner e. rodriguez jr(C5) 
Price is inclusion of electric and water. You may also use the amenities however with the guidelines given by the admin.",E. rodriguez Jr. corner Calle industria bagumbayan Libis Quezon City,1,1,Metro Manila (NCR),Quezon City,Libis,38,,,,https://www.carousell.ph/p/eastwood-libis-female-condo-sharing-bedspace-1064006737/?t-id=d5yLuNStGI_1612249126679&t-referrer_browse_type=search_results&t-referrer_request_id=F39B2Gjxx52mYH6P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_19525f5c_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_5aad2c35_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_b1e5aabc_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_6cdc57ea_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_c396adb2_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109391_2f928222_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109392_5abc8736_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109392_da27f308_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/20/eastwood_libis_female_condo_sh_1611109392_c096d72a_progressive.jpg",
